"Agip ANTIFREEZE EXTRA"	"1л."	"../image/cache/data/products/agip/Maslo/af_extra-800x800.jpg,../image/cache/data/products/agip/Maslo/af_extra-350x350.jpg"	"af_extra-800x800.jpg"	"Agip"	"ag78302"	Охлаждающая жидкость</p><p style="font-size: 13px; line-height: 20.8px;"><strong>Описание продукта</strong><br /><strong>Agip ANTIFREEZE EXTRA</strong> это концентрат охлаждающей жидкости, предназначенный для смешивания с дистиллированной водой в необходимой пропорции и заполнения систем охлаждения легковых, коммерческих и грузовых автомобилей. Концентрат не содержит нитритов, аминов и фосфатов.</p><p style="font-size: 13px; line-height: 20.8px;"><strong>Области применения&nbsp;</strong><br /><strong>Agip ANTIFREEZE EXTRA</strong> разработан для приготовления смеси с дистиллированной водой и заполнения ею охлаждающих систем всех транспортных средств независимо от их типа и производителя. При применении концентрата необходимо помнить, что степень изменения точек замерзания и кипения зависит от процентного содержания данного концентрата в воде. Ниже приводится таблица с указанием зависимости температур замерзания и кипения от процентного содержания концентрата Agip ANTIFREEZE EXTRA в воде.</p><p style="font-size: 13px; line-height: 20.8px;"><strong>Характеристики и преимущества</strong></p><ul><li style="font-size: 13px; line-height: 20.8px;">AGIP ANTIFREEZE EXTRA имеет очень низкую температуру застывания охлаждающей жидкости. Колебание температуры застывания зависит от используемой концентрации.</li><li style="font-size: 13px; line-height: 20.8px;">Желательно оставлять систему охлаждения заполненной круглый год. Концентрат не имеет кислотообразующих свойств и поэтому не разрушает металлы, даже если они очень чувствительны к воздействию кислот, например как алюминий, медь и сплавы.</li><li style="font-size: 13px; line-height: 20.8px;">Концентрат имеет очень высокие щелочные свойства, что исключает возможность появления коррозии даже после длительного нахождения в системе охлаждения.</li><li style="font-size: 13px; line-height: 20.8px;">Антикоррозионные свойства концентрата эффективно защищают черные металлы при взаимодействии с охлаждающей жидкостью.</li><li style="font-size: 13px; line-height: 20.8px;">Специальная формула концентрата защищает от образования накипи даже при использовании жесткой воды, и как следствие не нарушаются теплообменные свойства.</li><li style="font-size: 13px; line-height: 20.8px;">Его отличные антипенные свойства помогают предотвратить пенообразование, вредно влияющее на теплообменные свойства. Эта защита обеспечивается даже при быстрой циркуляции жидкости по системе.</li><li style="font-size: 13px; line-height: 20.8px;">Концентрат совместим со всеми резиновыми изделиями и уплотнителями, применяемыми в охлаждающих системах, и не вызывает набухания резины.</li></ul><p style="font-size: 13px; line-height: 20.8px;"><strong>Испытания и одобрения</strong><br />- ASTM D 3306 - ASTM D 2570 - ASTM D 4340 - ASTM D 1384 - CUNA NC 956-16 - FF.SS.cat.002/132 - BS 6580-1992 - VW TL 774 C - BMW - OPEL - MAN 324 Type NF - VOLVO - ROVER - GM EUROPE</p>
"Agip ANTIFREEZE EXTRA"	"20л."	"../image/cache/data/products/agip/Maslo/antifreeze_extral_20-800x800.jpg,../image/cache/data/products/agip/Maslo/antifreeze_extral_20-350x350.jpg"	"antifreeze_extral_20-800x800.jpg"	"Agip"	"ag783021"	Охлаждающая жидкость</p><p style="font-size: 13px; line-height: 20.8px;"><strong>Описание продукта</strong><br /><strong>Agip ANTIFREEZE EXTRA</strong>&nbsp;это концентрат охлаждающей жидкости, предназначенный для смешивания с дистиллированной водой в необходимой пропорции и заполнения систем охлаждения легковых, коммерческих и грузовых автомобилей. Концентрат не содержит нитритов, аминов и фосфатов.</p><p style="font-size: 13px; line-height: 20.8px;"><strong>Области применения&nbsp;</strong><br /><strong>Agip ANTIFREEZE EXTRA</strong>&nbsp;разработан для приготовления смеси с дистиллированной водой и заполнения ею охлаждающих систем всех транспортных средств независимо от их типа и производителя. При применении концентрата необходимо помнить, что степень изменения точек замерзания и кипения зависит от процентного содержания данного концентрата в воде. Ниже приводится таблица с указанием зависимости температур замерзания и кипения от процентного содержания концентрата Agip ANTIFREEZE EXTRA в воде.</p><p style="font-size: 13px; line-height: 20.8px;"><strong>Характеристики и преимущества</strong></p><ul style="font-size: 13px; line-height: 20.8px;"><li style="line-height: 20.8px;">AGIP ANTIFREEZE EXTRA имеет очень низкую температуру застывания охлаждающей жидкости. Колебание температуры застывания зависит от используемой концентрации.&nbsp;</li><li style="line-height: 20.8px;">Желательно оставлять систему охлаждения заполненной круглый год. Концентрат не имеет кислотообразующих свойств и поэтому не разрушает металлы, даже если они очень чувствительны к воздействию кислот, например как алюминий, медь и сплавы.&nbsp;</li><li style="line-height: 20.8px;">Концентрат имеет очень высокие щелочные свойства, что исключает возможность появления коррозии даже после длительного нахождения в системе охлаждения.&nbsp;</li><li style="line-height: 20.8px;">Антикоррозионные свойства концентрата эффективно защищают черные металлы при взаимодействии с охлаждающей жидкостью.&nbsp;</li><li style="line-height: 20.8px;">Специальная формула концентрата защищает от образования накипи даже при использовании жесткой воды, и как следствие не нарушаются теплообменные свойства.&nbsp;</li><li style="line-height: 20.8px;">Его отличные антипенные свойства помогают предотвратить пенообразование, вредно влияющее на теплообменные свойства. Эта защита обеспечивается даже при быстрой циркуляции жидкости по системе.</li><li style="line-height: 20.8px;">Концентрат совместим со всеми резиновыми изделиями и уплотнителями, применяемыми в охлаждающих системах, и не вызывает набухания резины.</li></ul><p style="font-size: 13px; line-height: 20.8px;"><strong>Испытания и одобрения</strong><br />- ASTM D 3306 - ASTM D 2570 - ASTM D 4340 - ASTM D 1384 - CUNA NC 956-16 - FF.SS.cat.002/132 - BS 6580-1992 - VW TL 774 C - BMW - OPEL - MAN 324 Type NF - VOLVO - ROVER - GM EUROPE</p>
"Agip ANTIFREEZE SPEZIAL"	"20л."	"../image/cache/data/products/agip/Maslo/spezial-800x800.jpg,../image/cache/data/products/agip/Maslo/spezial-350x350.jpg"	"spezial-800x800.jpg"	"Agip"	"ag78303"	Охлаждающая жидкость</p><p style="font-size: 13px; line-height: 20.8px;"><strong>Описание продукта</strong><br /><strong>Agip ANTIFREEZE SPEZIAL</strong> это концентрат охлаждающей жидкости на основе этиленгликоля. Жидкость отличается очень высокой защитой от коррозии всех частей двигателя и охлаждающих систем и предназначена для увеличенных интервалов замены. Концентрат не содержит силикатов, боров, нитритов, аминов и фосфатов.</p><p style="font-size: 13px; line-height: 20.8px;"><strong>Области применения&nbsp;</strong><br /><strong>Agip ANTIFREEZE SPEZIAL</strong> разработан для приготовления смеси с дистиллированной водой. Ниже приводится таблица с указанием зависимости температур замерзания и кипения от процентного содержания концентрата Agip ANTIFREEZE SPEZIAL в воде.</p><p style="font-size: 13px; line-height: 20.8px;"><strong>Характеристики и преимущества</strong></p><ul><li>Agip ANTIFREEZE SPEZIAL является одним из самых современных охлаждающих жидкостей на рынке.</li><li>Продукт демонстрирует очень длительную и надежную защиту от коррозии всех материалов, применяемых в производстве двигателей и систем охлаждения, таких как чугун, алюминий, медь, различные сплавы, а также полную совместимость с патрубками системы охлаждения, различными уплотнениями и деталями из пластика.</li><li>Концентрат содержит тщательно подобранные ингибиторы, не содержащие силикатов, боров, нитритов, аминов и фосфатов, благодаря чему не загрязняется окружающая среда.</li><li>Agip ANTIFREEZE SPEZIAL гарантирует эффективную защиту для грузовиков и автобусов на 650.000 км пробега и для легковых автомобилей на 250.000 км пробега. Но в любом случае замена должна осуществляться не реже одного раза за 5 лет.</li></ul><p style="font-size: 13px; line-height: 20.8px;"><strong>Испытания и одобрения</strong><br />- VW/AUDI/SEAT/SKODA TL 774 D/F (G12/G12+) - Mercedes Benz 325.3 - MAN 324 type SNF - MTU MTL 5048 - FORD WSS-M97B44-D - DEUTZ 0199-99-1115/2091 - OPEL GM 6277M - RENAULT RVI 41-01-001/Q type D - FVV Heft R443 - O-Norm V5123 - NATO S-759 - BS 6580 - ASTM D 3306 - ASTM D 4656 - ASTM D 4985</p>
"Agip ATF II D"	"1л."	"../image/cache/data/products/agip/Maslo/atf_2d-800x800.jpg,../image/cache/data/products/agip/Maslo/atf_2d-350x350.jpg"	"atf_2d-800x800.jpg"	"Agip"	"ag21501"	<p>В любом транспортном средстве трансмиссия играет ключевую роль по передаче энергии, генерируемой двигателем. В последнее время трансмиссионные масла подвергились заметным изменениям, направленным на обеспечение работы в наиболее тяжелых условиях как по температуре, так и по нагрузкам. Тенденции к уменьшению размеров и веса, уменьшению внутреннего трения для уменьшения рассеиваемой энергии привели к созданию поколения высокоэффективных трансмиссионных масел с увеличенными интервалами замены. Полная продуктовая линейка трансмиссионных масел Agip, включая продукты для высоких нагрузок, для современных автоматизированных и автоматических трансмиссий легковых и грузовых автомобилей, мотоциклов и скутеров.</p><h3>Применение</h3><p><strong>Agip ATF II D</strong> это специальная жидкость, применяемая в основном в современных автоматических коробках передач, а также в других механизмах, где требуется масло с низкой температурой застывания, высокой стабильностью к механическим нагрузкам и высоким индексом вязкости. <strong>Agip ATF II D</strong> предназначено для заливки и дозаправки в автоматические трансмиссии, гидроусилители руля и другие механизмы, производители которых рекомендуют использование продуктов типа Dexron II D.</p><h3>Преимущества</h3><ul><li>Благодаря специально подобранным вязкостным присадкам, повышающим индекс вязкости, Agip ATF II D имеет прекрасные вязкостные характеристики, сохраняющие свои свойства даже после длительного использования.</li><li>Его низкая температура застывания гарантирует стабильность характеристик при самых низких температурах применения.</li><li>Правильно сбалансированный модификатор трения обеспечивает бесшумную, ровную и оптимально эффективную работу трансмиссии.</li><li>Agip ATF II D имеет исключительную стабильность к окислению, которая препятствует старению масла и образованию различных отложений.</li><li>Высокие моюще-диспергирующие свойства помогают поддерживать в чистоте смазываемые механизмы, предотвращая образование отложений.</li><li>Отличные антикоррозийные свойства препятствуют образованию ржавчины в гидравлических системах автоматических трансмиссий. В жидкости полностью отсутствуют элементы, вызывающие коррозию изделий из стали и меди, цветных и не цветных сплавов.</li><li>Антипенные свойства исключают возможность пенообразования, что могло бы отрицательно повлиять на циркуляцию масла и на смазывающие свойства.</li><li>Масло Agip ATF II D полностью совместимо со всеми типами эластомеров, применяемых для производства прокладок и уплотнений.</li></ul><h3>Как выбрать трансмиссионное масло</h3><p>Трансмиссионными называют масла, специально предназначенные для механических коробок передач и ведущих мостов. Их общая особенность - способность создавать прочную смазывающую пленку, выдерживающую большие нагрузки в контакте деталей.&nbsp;<span style="line-height: 20.8px;">Сегодня на рынке доступно великое множество различных масел. Но как выбрать, то что нужно именно вашему автомобилю? Прежде всего следует обратиться к указаниям заводской инструкции по эксплуатации автомобиля и уже на основе этого выбирать нужный продукт. Важно помнить, что следует соблюдать все указанные спецификации и не использовать более низкие категории масел, так как это призведет к выходу&nbsp;агрегата из строя.&nbsp;</span>&nbsp;</p><p>Важно знать что, для автоматических коробок не годится ни трансмиссионное, ни моторное. Эти устройства специфичны, для их работы требуется маловязкая жидкость, которую в международной практике принято называть ATF (Automatic Transmission Fluid). Что же касается обычных легковых и грузовых автомобилей с классической компоновкой, а также полноприводных и некоторых переднеприводных, то в их агрегатах используются исключительно трансмиссионные масла.</p><p>Выбор по уровням эксплуатационных свойств это еще не все. Важно также определиться с вязкостью смазочного материала. Система SAE определяет текучесть масел для трансмиссий и ведущих мостов :</p><ul><li>Зимние (70W, 75W, 80W, 85W) классы;</li><li>Летние (80,85,90,110,140,250) классы;</li></ul>
"Agip BRAKE FLUID DOT 4"	""	"../image/cache/data/products/agip/Maslo/dot_4-800x800.jpg,../image/cache/data/products/agip/Maslo/dot_4-350x350.jpg"	"dot_4-800x800.jpg"	"Agip"	"ag90102"	
"Agip BRAKE FLUID DOT 5.1"	""	"../image/cache/data/products/agip/Maslo/dot_5.1-800x800.jpg,../image/cache/data/products/agip/Maslo/dot_5.1-350x350.jpg"	"dot_5.1-800x800.jpg"	"Agip"	"ag90101"	
"Agip Dexron III"	"1л."	"../image/cache/data/products/agip/Maslo/dexron_3-800x800.jpg,../image/cache/data/products/agip/Maslo/dexron_3-350x350.jpg"	"dexron_3-800x800.jpg"	"Agip"	"ag21502"	<h3>Применение</h3><p><strong>Agip DEXRON III</strong>&nbsp;это жидкость для автоматических трансмиссий и гидросистем, отвечающая требованиям спецификаций GM Dexron III, Ford Mercon, Allison C4, а также требованиям европейских автопроизводителей.</p><h3>Преимущества</h3><ul><li><strong>Agip DEXRON III</strong>&nbsp;имеет высокую стабильность к окислению, что обеспечивает безупречную чистоту трансмиссий.</li><li>Жидкость обладает стабильностью фрикционных свойств, что подтверждено циклом испытаний на их прочность.</li><li>Agip DEXRON III имеет прекрасную текучесть при низких температурах.</li><li>Хорошая совместимость со всеми типами изделий из эластомеров и металлов обеспечивает надежную защиту от протечек и износа.</li><li>Хорошие антипенные свойства предотвращают пенообразование.</li></ul><h3>Как выбрать трансмиссионное масло</h3><p>Трансмиссионными называют масла, специально предназначенные для механических коробок передач и ведущих мостов. Их общая особенность - способность создавать прочную смазывающую пленку, выдерживающую большие нагрузки в контакте деталей.&nbsp;<span style="line-height: 20.8px;">Сегодня на рынке доступно великое множество различных масел. Но как выбрать, то что нужно именно вашему автомобилю? Прежде всего следует обратиться к указаниям заводской инструкции по эксплуатации автомобиля и уже на основе этого выбирать нужный продукт. Важно помнить, что следует соблюдать все указанные спецификации и не использовать более низкие категории масел, так как это призведет к выходу&nbsp;агрегата из строя.&nbsp;</span>&nbsp;</p><p>Важно знать что, для автоматических коробок не годится ни трансмиссионное, ни моторное. Эти устройства специфичны, для их работы требуется маловязкая жидкость, которую в международной практике принято называть ATF (Automatic Transmission Fluid). Что же касается обычных легковых и грузовых автомобилей с классической компоновкой, а также полноприводных и некоторых переднеприводных, то в их агрегатах используются исключительно трансмиссионные масла.</p><p>Выбор по уровням эксплуатационных свойств это еще не все. Важно также определиться с вязкостью смазочного материала. Система SAE определяет текучесть масел для трансмиссий и ведущих мостов :</p><ul><li>Зимние (70W, 75W, 80W, 85W) классы;</li><li>Летние (80,85,90,110,140,250) классы;</li></ul>
"Agip Dexron III"	"205л."	"../image/cache/data/products/agip/Maslo/10w40_universal-800x800.jpg,../image/cache/data/products/agip/Maslo/10w40_universal-350x350.jpg"	"10w40_universal-800x800.jpg"	"Agip"	"ag215021"	<h3>Применение</h3><p><strong>Agip DEXRON III</strong> это жидкость для автоматических трансмиссий и гидросистем, отвечающая требованиям спецификаций GM Dexron III, Ford Mercon, Allison C4, а также требованиям европейских автопроизводителей.</p><h3>Преимущества</h3><ul><li><strong>Agip DEXRON III</strong> имеет высокую стабильность к окислению, что обеспечивает безупречную чистоту трансмиссий.</li><li>Жидкость обладает стабильностью фрикционных свойств, что подтверждено циклом испытаний на их прочность.</li><li>Agip DEXRON III имеет прекрасную текучесть при низких температурах.</li><li>Хорошая совместимость со всеми типами изделий из эластомеров и металлов обеспечивает надежную защиту от протечек и износа.</li><li>Хорошие антипенные свойства предотвращают пенообразование.</li></ul><h3>Как выбрать трансмиссионное масло</h3><p>Трансмиссионными называют масла, специально предназначенные для механических коробок передач и ведущих мостов. Их общая особенность - способность создавать прочную смазывающую пленку, выдерживающую большие нагрузки в контакте деталей.&nbsp;<span style="line-height: 20.8px;">Сегодня на рынке доступно великое множество различных масел. Но как выбрать, то что нужно именно вашему автомобилю? Прежде всего следует обратиться к указаниям заводской инструкции по эксплуатации автомобиля и уже на основе этого выбирать нужный продукт. Важно помнить, что следует соблюдать все указанные спецификации и не использовать более низкие категории масел, так как это призведет к выходу&nbsp;агрегата из строя.&nbsp;</span>&nbsp;</p><p>Важно знать что, для автоматических коробок не годится ни трансмиссионное, ни моторное. Эти устройства специфичны, для их работы требуется маловязкая жидкость, которую в международной практике принято называть ATF (Automatic Transmission Fluid). Что же касается обычных легковых и грузовых автомобилей с классической компоновкой, а также полноприводных и некоторых переднеприводных, то в их агрегатах используются исключительно трансмиссионные масла.</p><p>Выбор по уровням эксплуатационных свойств это еще не все. Важно также определиться с вязкостью смазочного материала. Система SAE определяет текучесть масел для трансмиссий и ведущих мостов :</p><ul><li>Зимние (70W, 75W, 80W, 85W) классы;</li><li>Летние (80,85,90,110,140,250) классы;</li></ul>
"Agip Dexron III"	"20л."	"../image/cache/data/products/agip/Maslo/18rg-800x800.jpg,../image/cache/data/products/agip/Maslo/18rg-350x350.jpg"	"18rg-800x800.jpg"	"Agip"	"ag215022"	<p>В любом транспортном средстве трансмиссия играет ключевую роль по передаче энергии, генерируемой двигателем. В последнее время трансмиссионные масла подвергились заметным изменениям, направленным на обеспечение работы в наиболее тяжелых условиях как по температуре, так и по нагрузкам. Тенденции к уменьшению размеров и веса, уменьшению внутреннего трения для уменьшения рассеиваемой энергии привели к созданию поколения высокоэффективных трансмиссионных масел с увеличенными интервалами замены. Полная продуктовая линейка трансмиссионных масел Agip, включая продукты для высоких нагрузок, для современных автоматизированных и автоматических трансмиссий легковых и грузовых автомобилей, мотоциклов и скутеров.</p><h3>Применение</h3><p><strong>Agip DEXRON III</strong>&nbsp;это жидкость для автоматических трансмиссий и гидросистем, отвечающая требованиям спецификаций GM Dexron III, Ford Mercon, Allison C4, а также требованиям европейских автопроизводителей.</p><h3>Преимущества</h3><ul><li><strong>Agip DEXRON III</strong>&nbsp;имеет высокую стабильность к окислению, что обеспечивает безупречную чистоту трансмиссий.</li><li>Жидкость обладает стабильностью фрикционных свойств, что подтверждено циклом испытаний на их прочность.</li><li>Agip DEXRON III имеет прекрасную текучесть при низких температурах.</li><li>Хорошая совместимость со всеми типами изделий из эластомеров и металлов обеспечивает надежную защиту от протечек и износа.</li><li>Хорошие антипенные свойства предотвращают пенообразование.</li></ul><h3>Как выбрать трансмиссионное масло</h3><p>Трансмиссионными называют масла, специально предназначенные для механических коробок передач и ведущих мостов. Их общая особенность - способность создавать прочную смазывающую пленку, выдерживающую большие нагрузки в контакте деталей.&nbsp;<span style="line-height: 20.8px;">Сегодня на рынке доступно великое множество различных масел. Но как выбрать, то что нужно именно вашему автомобилю? Прежде всего следует обратиться к указаниям заводской инструкции по эксплуатации автомобиля и уже на основе этого выбирать нужный продукт. Важно помнить, что следует соблюдать все указанные спецификации и не использовать более низкие категории масел, так как это призведет к выходу&nbsp;агрегата из строя.&nbsp;</span>&nbsp;</p><p>Важно знать что, для автоматических коробок не годится ни трансмиссионное, ни моторное. Эти устройства специфичны, для их работы требуется маловязкая жидкость, которую в международной практике принято называть ATF (Automatic Transmission Fluid). Что же касается обычных легковых и грузовых автомобилей с классической компоновкой, а также полноприводных и некоторых переднеприводных, то в их агрегатах используются исключительно трансмиссионные масла.</p><p>Выбор по уровням эксплуатационных свойств это еще не все. Важно также определиться с вязкостью смазочного материала. Система SAE определяет текучесть масел для трансмиссий и ведущих мостов :</p><ul><li>Зимние (70W, 75W, 80W, 85W) классы;</li><li>Летние (80,85,90,110,140,250) классы;</li></ul>
"Agip ENI i-Ride motoGP 10W-60"	"1л."	"../image/cache/data/products/agip/Maslo/10w60_motogp-800x800.jpg,../image/cache/data/products/agip/Maslo/10w60_motogp-350x350.jpg"	"10w60_motogp-800x800.jpg"	"Agip"	"ag132165"	<h3>Применение</h3><p><strong>eni i-Ride motoGP 10w-60</strong> полностью синтетическое моторное масло, специально разработанное для мощных четырехтактных мотоциклетных двигателей, эксплуатируемых в исключительно тяжелых условиях. Масло производится с использованием высококачественного синтетического базового масла и специально разработанного высокотехнологичного пакета присадок.</p><h3>Преимущества</h3><ul><li>Благодаря специальному синтетическому базовому маслу и играющему ключевую роль специфичному пакету присадок обеспечивается высочайшая стабильность характеристик масла и превосходная устойчивость к очень высоким рабочим температурам.</li><li>Благодаря своим характеристикам моторное масло <strong>eni i-Ride motoGP 10w-60</strong> превосходно подходит для применения в гоночных условиях.</li></ul>
