Категория;Товар;Поисковые метки;Цена;Цена оптовая;Адрес;Видим;Рекомендуемый;Бренд;Вариант;Старая цена;Артикул;Склад;Заголовок страницы;Ключевые слова;Описание страницы;Аннотация;Описание;Изображения;Производитель;Емкость;Тип масла;Тип двигателя;SAE (Вязкость);Применение;ACEA;API;ILSAC;DEXTRON;JASO;ISO;CCMC;CIK-FIA;NMMA;Класс вязкости;Тип фильтра;Функция;Модель;Высота H1 (mm);Высота H2 (mm);Диаметр внешний OD1 (mm);Диаметр внешний OD2 (mm);Диаметр внутренний ID1 (mm);Диаметр внутренний ID2 (mm);Резьба (?);Нижняя резьба (?);Наруж. диаметр прокладки OD2 (mm);Внутр. диаметр прокладки ID2 (mm);Тип колодки;Передний/Задний;Тип диска;Кол-во отверстий;Диаметр (mm) ;Диаметр фаски (mm);Длина L1 (mm);Длина L2 (mm);Ширина W1 (mm);Ширина W2 (mm);Толщина (мм);Высота (mm);Тип радиатора;Модель автомобиля;Размеры радиатора (mm);Впускной диаметр (mm);Выпускной диаметр (mm);Впускной диаметр (?);Выпускной диаметр (?);Комплект (шт);Материал;Примечание
"";"BIZOL COOLANT G12+";;0.01;;;"1";;;"Объем 1л";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>BIZOL АНТИФРИЗЫ ЗАЩИЩАЮТ И ОЧИЩАЮТ СИСТЕМУ ОХЛАЖДЕНИЯ</h3> <div class="product-description"><p style="font-size: 13px  line-height: 20.8px "><strong>Bizol Coolant G12+</strong>Концентрат на основе моноэтиленгликоля для защиты системы охлаждения транспортных средств с антикоррозийными и противопенными присадками.</p></span></strong></span></p>";"<div class="left"><h3>BIZOL АНТИФРИЗЫ ЗАЩИЩАЮТ И ОЧИЩАЮТ СИСТЕМУ ОХЛАЖДЕНИЯ</h3> <div class="product-description"><p style="font-size: 13px  line-height: 20.8px "><strong>Bizol Coolant G12+</strong>  Концентрат на основе моноэтиленгликоля для защиты системы охлаждения транспортных средств с антикоррозийными и противопенными присадками.</p><p style="font-size: 13px  line-height: 20.8px "><strong>Области применения</strong><br /><strong>Bizol Coolant G12+</strong>   Концентрат на основе моноэтиленгликоля для защиты системы охлаждения транспортных средств с антикоррозийными и противопенными присадками. Не разъедает алюминий, пластик, резину и прочие материалы и уплотнения. Не содержит фосфатов, нитритов, аминов и силикатов. Благодаря наличию антикоррозийного компонента также рекомендуется для применения и в летний период. Может смешиваться с любыми охлаждающими жидкостями на основе как моноэтиленгликоля (G12), так и этиленгликоля (G11). Концентрат. Разводить водой.</p><p style="font-size: 13px  line-height: 20.8px "><strong>Характеристики и преимущества  </strong><br /><strong>Bizol Coolant G12+  </strong>Не разъедает алюминий, пластик, резину и прочие материалы и уплотнения. Не содержит фосфатов, нитритов, аминов и силикатов. Благодаря наличию антикоррозийного компонента также рекомендуется для применения и в летний период.</p><p style="font-size: 13px  line-height: 20.8px "><strong>Испытания и одобрения  </strong><br />STON MARTIN Aston Martin AUDI Audi BEHR Behr CATERPILLAR A4.05.09.01 CUMMINS IS series / N14 DAF 74002 DEUTZ 199-99-1115/5 2091/8 FIAT 9.55523 FORD Ford GENERAL MOTORS/OPEL GM Chevrolet Vauxhall GM 6277M ISUZU Isuzu JAGUAR Jaguar JOHN DEERE JDMH5 KOMATSU 07.892 LIEBHERR MD1-36-130 MAN 324 Typ SNF / D36 5600 MAZDA MEZ MN 121D MERCEDES BENZ MB 325.3 MITSUBISHI Mitsubishi MTU MTL 5048 NISSAN Nissan OPEL Opel OTHERS ADE Detroit Diesel Power Cool Plus Sperry Vickers RENAULT Renault RENAULT TRUCKS 41-01-001 / S Type D ROVER Land WSS-M97B44-D SAAB Saab SEAT Seat SKODA TL 774D (G12 / G12+) SUZUKI Santana Motors VOLKSWAGEN VW WÄERTSILÄ Wärtsilä 32-9011</p><div class="right"><ul class="product-benefit">";81430.jpg;BIZOL;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"BIZOL COOLANT G12+";;0.01;;;"1";;;"Объем 200л";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>BIZOL АНТИФРИЗЫ ЗАЩИЩАЮТ И ОЧИЩАЮТ СИСТЕМУ ОХЛАЖДЕНИЯ</h3> <div class="product-description"><p style="font-size: 13px  line-height: 20.8px "><strong>Bizol Coolant G12+</strong>Концентрат на основе моноэтиленгликоля для защиты системы охлаждения транспортных средств с антикоррозийными и противопенными присадками.</p></span></strong></span></p>";"<div class="left"><h3>BIZOL АНТИФРИЗЫ ЗАЩИЩАЮТ И ОЧИЩАЮТ СИСТЕМУ ОХЛАЖДЕНИЯ</h3> <div class="product-description"><p style="font-size: 13px  line-height: 20.8px "><strong>Bizol Coolant G12+</strong>  Концентрат на основе моноэтиленгликоля для защиты системы охлаждения транспортных средств с антикоррозийными и противопенными присадками.</p><p style="font-size: 13px  line-height: 20.8px "><strong>Области применения</strong><br /><strong>Bizol Coolant G12+</strong>   Концентрат на основе моноэтиленгликоля для защиты системы охлаждения транспортных средств с антикоррозийными и противопенными присадками. Не разъедает алюминий, пластик, резину и прочие материалы и уплотнения. Не содержит фосфатов, нитритов, аминов и силикатов. Благодаря наличию антикоррозийного компонента также рекомендуется для применения и в летний период. Может смешиваться с любыми охлаждающими жидкостями на основе как моноэтиленгликоля (G12), так и этиленгликоля (G11). Концентрат. Разводить водой.</p><p style="font-size: 13px  line-height: 20.8px "><strong>Характеристики и преимущества  </strong><br /><strong>Bizol Coolant G12+  </strong>Не разъедает алюминий, пластик, резину и прочие материалы и уплотнения. Не содержит фосфатов, нитритов, аминов и силикатов. Благодаря наличию антикоррозийного компонента также рекомендуется для применения и в летний период.</p><p style="font-size: 13px  line-height: 20.8px "><strong>Испытания и одобрения  </strong><br />STON MARTIN Aston Martin AUDI Audi BEHR Behr CATERPILLAR A4.05.09.01 CUMMINS IS series / N14 DAF 74002 DEUTZ 199-99-1115/5 2091/8 FIAT 9.55523 FORD Ford GENERAL MOTORS/OPEL GM Chevrolet Vauxhall GM 6277M ISUZU Isuzu JAGUAR Jaguar JOHN DEERE JDMH5 KOMATSU 07.892 LIEBHERR MD1-36-130 MAN 324 Typ SNF / D36 5600 MAZDA MEZ MN 121D MERCEDES BENZ MB 325.3 MITSUBISHI Mitsubishi MTU MTL 5048 NISSAN Nissan OPEL Opel OTHERS ADE Detroit Diesel Power Cool Plus Sperry Vickers RENAULT Renault RENAULT TRUCKS 41-01-001 / S Type D ROVER Land WSS-M97B44-D SAAB Saab SEAT Seat SKODA TL 774D (G12 / G12+) SUZUKI Santana Motors VOLKSWAGEN VW WÄERTSILÄ Wärtsilä 32-9011</p><div class="right"><ul class="product-benefit">";200l.jpg;BIZOL;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"BIZOL COOLANT G12+";;0.01;;;"1";;;"Объем 5л";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>BIZOL АНТИФРИЗЫ ЗАЩИЩАЮТ И ОЧИЩАЮТ СИСТЕМУ ОХЛАЖДЕНИЯ</h3> <div class="product-description"><p style="font-size: 13px  line-height: 20.8px "><strong>Bizol Coolant G12+</strong>Концентрат на основе моноэтиленгликоля для защиты системы охлаждения транспортных средств с антикоррозийными и противопенными присадками.</p></span></strong></span></p>";"<div class="left"><h3>BIZOL АНТИФРИЗЫ ЗАЩИЩАЮТ И ОЧИЩАЮТ СИСТЕМУ ОХЛАЖДЕНИЯ</h3> <div class="product-description"><p style="font-size: 13px  line-height: 20.8px "><strong>Bizol Coolant G12+</strong>  Концентрат на основе моноэтиленгликоля для защиты системы охлаждения транспортных средств с антикоррозийными и противопенными присадками.</p><p style="font-size: 13px  line-height: 20.8px "><strong>Области применения</strong><br /><strong>Bizol Coolant G12+</strong>   Концентрат на основе моноэтиленгликоля для защиты системы охлаждения транспортных средств с антикоррозийными и противопенными присадками. Не разъедает алюминий, пластик, резину и прочие материалы и уплотнения. Не содержит фосфатов, нитритов, аминов и силикатов. Благодаря наличию антикоррозийного компонента также рекомендуется для применения и в летний период. Может смешиваться с любыми охлаждающими жидкостями на основе как моноэтиленгликоля (G12), так и этиленгликоля (G11). Концентрат. Разводить водой.</p><p style="font-size: 13px  line-height: 20.8px "><strong>Характеристики и преимущества  </strong><br /><strong>Bizol Coolant G12+  </strong>Не разъедает алюминий, пластик, резину и прочие материалы и уплотнения. Не содержит фосфатов, нитритов, аминов и силикатов. Благодаря наличию антикоррозийного компонента также рекомендуется для применения и в летний период.</p><p style="font-size: 13px  line-height: 20.8px "><strong>Испытания и одобрения  </strong><br />STON MARTIN Aston Martin AUDI Audi BEHR Behr CATERPILLAR A4.05.09.01 CUMMINS IS series / N14 DAF 74002 DEUTZ 199-99-1115/5 2091/8 FIAT 9.55523 FORD Ford GENERAL MOTORS/OPEL GM Chevrolet Vauxhall GM 6277M ISUZU Isuzu JAGUAR Jaguar JOHN DEERE JDMH5 KOMATSU 07.892 LIEBHERR MD1-36-130 MAN 324 Typ SNF / D36 5600 MAZDA MEZ MN 121D MERCEDES BENZ MB 325.3 MITSUBISHI Mitsubishi MTU MTL 5048 NISSAN Nissan OPEL Opel OTHERS ADE Detroit Diesel Power Cool Plus Sperry Vickers RENAULT Renault RENAULT TRUCKS 41-01-001 / S Type D ROVER Land WSS-M97B44-D SAAB Saab SEAT Seat SKODA TL 774D (G12 / G12+) SUZUKI Santana Motors VOLKSWAGEN VW WÄERTSILÄ Wärtsilä 32-9011</p><div class="right"><ul class="product-benefit">";81431.jpg;BIZOL;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"BIZOL COOLANT G12+";;0.01;;;"1";;;"Объем 60л";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>BIZOL АНТИФРИЗЫ ЗАЩИЩАЮТ И ОЧИЩАЮТ СИСТЕМУ ОХЛАЖДЕНИЯ</h3> <div class="product-description"><p style="font-size: 13px  line-height: 20.8px "><strong>Bizol Coolant G12+</strong>Концентрат на основе моноэтиленгликоля для защиты системы охлаждения транспортных средств с антикоррозийными и противопенными присадками.</p></span></strong></span></p>";"<div class="left"><h3>BIZOL АНТИФРИЗЫ ЗАЩИЩАЮТ И ОЧИЩАЮТ СИСТЕМУ ОХЛАЖДЕНИЯ</h3> <div class="product-description"><p style="font-size: 13px  line-height: 20.8px "><strong>Bizol Coolant G12+</strong>  Концентрат на основе моноэтиленгликоля для защиты системы охлаждения транспортных средств с антикоррозийными и противопенными присадками.</p><p style="font-size: 13px  line-height: 20.8px "><strong>Области применения</strong><br /><strong>Bizol Coolant G12+</strong>   Концентрат на основе моноэтиленгликоля для защиты системы охлаждения транспортных средств с антикоррозийными и противопенными присадками. Не разъедает алюминий, пластик, резину и прочие материалы и уплотнения. Не содержит фосфатов, нитритов, аминов и силикатов. Благодаря наличию антикоррозийного компонента также рекомендуется для применения и в летний период. Может смешиваться с любыми охлаждающими жидкостями на основе как моноэтиленгликоля (G12), так и этиленгликоля (G11). Концентрат. Разводить водой.</p><p style="font-size: 13px  line-height: 20.8px "><strong>Характеристики и преимущества  </strong><br /><strong>Bizol Coolant G12+  </strong>Не разъедает алюминий, пластик, резину и прочие материалы и уплотнения. Не содержит фосфатов, нитритов, аминов и силикатов. Благодаря наличию антикоррозийного компонента также рекомендуется для применения и в летний период.</p><p style="font-size: 13px  line-height: 20.8px "><strong>Испытания и одобрения  </strong><br />STON MARTIN Aston Martin AUDI Audi BEHR Behr CATERPILLAR A4.05.09.01 CUMMINS IS series / N14 DAF 74002 DEUTZ 199-99-1115/5 2091/8 FIAT 9.55523 FORD Ford GENERAL MOTORS/OPEL GM Chevrolet Vauxhall GM 6277M ISUZU Isuzu JAGUAR Jaguar JOHN DEERE JDMH5 KOMATSU 07.892 LIEBHERR MD1-36-130 MAN 324 Typ SNF / D36 5600 MAZDA MEZ MN 121D MERCEDES BENZ MB 325.3 MITSUBISHI Mitsubishi MTU MTL 5048 NISSAN Nissan OPEL Opel OTHERS ADE Detroit Diesel Power Cool Plus Sperry Vickers RENAULT Renault RENAULT TRUCKS 41-01-001 / S Type D ROVER Land WSS-M97B44-D SAAB Saab SEAT Seat SKODA TL 774D (G12 / G12+) SUZUKI Santana Motors VOLKSWAGEN VW WÄERTSILÄ Wärtsilä 32-9011</p><div class="right"><ul class="product-benefit">";200l.jpg;BIZOL;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"BIZOL ALLROUND 10W-40";;0.01;;;"1";;;"Объем 1л";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>Bizol Allround великолепный очищающий эффект. Формула масла для каждого.</h3> <div class="product-description"><p><strong>BIZOL</strong> является компанией по производству продукции немецкого качества в шести сегментах рынка: легковые автомобили, автобусы и грузовики, мотоциклы, моторные лодки, сельхозтехника и промышленное оборудование. На протяжении последних нескольких лет BIZOL значительно расширила свою международную дистрибьюторскую сеть: в 2009 году смазочные материалы BIZOL продавались в 7 странах, а в скором будущем – более чем в 100 странах. Компания BIZOL сотрудничает с эксклюзивными дистрибьюторами, предлагая им персонализированную сбытовую и маркетинговую поддержку, специализированную продукцию для конкретных рынков и реагирование на потребности заказчика посредством гибкой модели "пользовательских инноваций".</p></span></strong></span></p>";"<div class="left"><h3>Bizol Allround великолепный очищающий эффект. Формула масла для каждого.</h3> <div class="product-description"><p><strong>BIZOL</strong> является компанией по производству продукции немецкого качества в шести сегментах рынка: легковые автомобили, автобусы и грузовики, мотоциклы, моторные лодки, сельхозтехника и промышленное оборудование. На протяжении последних нескольких лет BIZOL значительно расширила свою международную дистрибьюторскую сеть: в 2009 году смазочные материалы BIZOL продавались в 7 странах, а в скором будущем – более чем в 100 странах. Компания BIZOL сотрудничает с эксклюзивными дистрибьюторами, предлагая им персонализированную сбытовую и маркетинговую поддержку, специализированную продукцию для конкретных рынков и реагирование на потребности заказчика посредством гибкой модели "пользовательских инноваций".</p><h3>Применение</h3><p style="line-height: 20.8px "><strong>BIZOL Allround 10W-40</strong>  это моторное масло на базе технологии синтеза, специально разработано для экономичного всесезонного обслуживания современных и более ранних двигателей легковых автомобилей и микроавтобусов. Идеально для использования в многоклапанных бензиновых и дизельных двигателях, в т.ч. с прямым впрыском и турбонаддувом. Предотвращает образование нагара, снижает трение в двигателе, уменьшает расход топлива.</p><h3>Преимущества</h3><ul><li>оптимальная чистота двигателя</li><li>высокая устойчивость к старению</li><li>высокая надежность смазки при высоких и низких температурах</li></ul><div class="right"><ul class="product-benefit">";83010.jpg;BIZOL;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"BIZOL ALLROUND 10W-40";;0.01;;;"1";;;"Объем 200л";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>Bizol Allround великолепный очищающий эффект. Формула масла для каждого.</h3> <div class="product-description"><p><strong>BIZOL</strong> является компанией по производству продукции немецкого качества в шести сегментах рынка: легковые автомобили, автобусы и грузовики, мотоциклы, моторные лодки, сельхозтехника и промышленное оборудование. На протяжении последних нескольких лет BIZOL значительно расширила свою международную дистрибьюторскую сеть: в 2009 году смазочные материалы BIZOL продавались в 7 странах, а в скором будущем – более чем в 100 странах. Компания BIZOL сотрудничает с эксклюзивными дистрибьюторами, предлагая им персонализированную сбытовую и маркетинговую поддержку, специализированную продукцию для конкретных рынков и реагирование на потребности заказчика посредством гибкой модели "пользовательских инноваций".</p></span></strong></span></p>";"<div class="left"><h3>Bizol Allround великолепный очищающий эффект. Формула масла для каждого.</h3> <div class="product-description"><p><strong>BIZOL</strong> является компанией по производству продукции немецкого качества в шести сегментах рынка: легковые автомобили, автобусы и грузовики, мотоциклы, моторные лодки, сельхозтехника и промышленное оборудование. На протяжении последних нескольких лет BIZOL значительно расширила свою международную дистрибьюторскую сеть: в 2009 году смазочные материалы BIZOL продавались в 7 странах, а в скором будущем – более чем в 100 странах. Компания BIZOL сотрудничает с эксклюзивными дистрибьюторами, предлагая им персонализированную сбытовую и маркетинговую поддержку, специализированную продукцию для конкретных рынков и реагирование на потребности заказчика посредством гибкой модели "пользовательских инноваций".</p><h3>Применение</h3><p style="line-height: 20.8px "><strong>BIZOL Allround 10W-40</strong>  это моторное масло на базе технологии синтеза, специально разработано для экономичного всесезонного обслуживания современных и более ранних двигателей легковых автомобилей и микроавтобусов. Идеально для использования в многоклапанных бензиновых и дизельных двигателях, в т.ч. с прямым впрыском и турбонаддувом. Предотвращает образование нагара, снижает трение в двигателе, уменьшает расход топлива.</p><h3>Преимущества</h3><ul><li>оптимальная чистота двигателя</li><li>высокая устойчивость к старению</li><li>высокая надежность смазки при высоких и низких температурах</li></ul><div class="right"><ul class="product-benefit">";200l.jpg;BIZOL;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"BIZOL ALLROUND 10W-40";;0.01;;;"1";;;"Объем 20л";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>Bizol Allround великолепный очищающий эффект. Формула масла для каждого.</h3> <div class="product-description"><p><strong>BIZOL</strong> является компанией по производству продукции немецкого качества в шести сегментах рынка: легковые автомобили, автобусы и грузовики, мотоциклы, моторные лодки, сельхозтехника и промышленное оборудование. На протяжении последних нескольких лет BIZOL значительно расширила свою международную дистрибьюторскую сеть: в 2009 году смазочные материалы BIZOL продавались в 7 странах, а в скором будущем – более чем в 100 странах. Компания BIZOL сотрудничает с эксклюзивными дистрибьюторами, предлагая им персонализированную сбытовую и маркетинговую поддержку, специализированную продукцию для конкретных рынков и реагирование на потребности заказчика посредством гибкой модели "пользовательских инноваций".</p></span></strong></span></p>";"<div class="left"><h3>Bizol Allround великолепный очищающий эффект. Формула масла для каждого.</h3> <div class="product-description"><p><strong>BIZOL</strong> является компанией по производству продукции немецкого качества в шести сегментах рынка: легковые автомобили, автобусы и грузовики, мотоциклы, моторные лодки, сельхозтехника и промышленное оборудование. На протяжении последних нескольких лет BIZOL значительно расширила свою международную дистрибьюторскую сеть: в 2009 году смазочные материалы BIZOL продавались в 7 странах, а в скором будущем – более чем в 100 странах. Компания BIZOL сотрудничает с эксклюзивными дистрибьюторами, предлагая им персонализированную сбытовую и маркетинговую поддержку, специализированную продукцию для конкретных рынков и реагирование на потребности заказчика посредством гибкой модели "пользовательских инноваций".</p><h3>Применение</h3><p style="line-height: 20.8px "><strong>BIZOL Allround 10W-40</strong>  это моторное масло на базе технологии синтеза, специально разработано для экономичного всесезонного обслуживания современных и более ранних двигателей легковых автомобилей и микроавтобусов. Идеально для использования в многоклапанных бензиновых и дизельных двигателях, в т.ч. с прямым впрыском и турбонаддувом. Предотвращает образование нагара, снижает трение в двигателе, уменьшает расход топлива.</p><h3>Преимущества</h3><ul><li>оптимальная чистота двигателя</li><li>высокая устойчивость к старению</li><li>высокая надежность смазки при высоких и низких температурах</li></ul><div class="right"><ul class="product-benefit">";20l.jpg;BIZOL;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"BIZOL ALLROUND 10W-40";;0.01;;;"1";;;"Объем 4л";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>Bizol Allround великолепный очищающий эффект. Формула масла для каждого.</h3> <div class="product-description"><p><strong>BIZOL</strong> является компанией по производству продукции немецкого качества в шести сегментах рынка: легковые автомобили, автобусы и грузовики, мотоциклы, моторные лодки, сельхозтехника и промышленное оборудование. На протяжении последних нескольких лет BIZOL значительно расширила свою международную дистрибьюторскую сеть: в 2009 году смазочные материалы BIZOL продавались в 7 странах, а в скором будущем – более чем в 100 странах. Компания BIZOL сотрудничает с эксклюзивными дистрибьюторами, предлагая им персонализированную сбытовую и маркетинговую поддержку, специализированную продукцию для конкретных рынков и реагирование на потребности заказчика посредством гибкой модели "пользовательских инноваций".</p></span></strong></span></p>";"<div class="left"><h3>Bizol Allround великолепный очищающий эффект. Формула масла для каждого.</h3> <div class="product-description"><p><strong>BIZOL</strong> является компанией по производству продукции немецкого качества в шести сегментах рынка: легковые автомобили, автобусы и грузовики, мотоциклы, моторные лодки, сельхозтехника и промышленное оборудование. На протяжении последних нескольких лет BIZOL значительно расширила свою международную дистрибьюторскую сеть: в 2009 году смазочные материалы BIZOL продавались в 7 странах, а в скором будущем – более чем в 100 странах. Компания BIZOL сотрудничает с эксклюзивными дистрибьюторами, предлагая им персонализированную сбытовую и маркетинговую поддержку, специализированную продукцию для конкретных рынков и реагирование на потребности заказчика посредством гибкой модели "пользовательских инноваций".</p><h3>Применение</h3><p style="line-height: 20.8px "><strong>BIZOL Allround 10W-40</strong>  это моторное масло на базе технологии синтеза, специально разработано для экономичного всесезонного обслуживания современных и более ранних двигателей легковых автомобилей и микроавтобусов. Идеально для использования в многоклапанных бензиновых и дизельных двигателях, в т.ч. с прямым впрыском и турбонаддувом. Предотвращает образование нагара, снижает трение в двигателе, уменьшает расход топлива.</p><h3>Преимущества</h3><ul><li>оптимальная чистота двигателя</li><li>высокая устойчивость к старению</li><li>высокая надежность смазки при высоких и низких температурах</li></ul><div class="right"><ul class="product-benefit">";83016.jpg;BIZOL;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"BIZOL ALLROUND 10W-40";;0.01;;;"1";;;"Объем 4л";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>Bizol Allround великолепный очищающий эффект. Формула масла для каждого.</h3> <div class="product-description"><p><strong>BIZOL</strong> является компанией по производству продукции немецкого качества в шести сегментах рынка: легковые автомобили, автобусы и грузовики, мотоциклы, моторные лодки, сельхозтехника и промышленное оборудование. На протяжении последних нескольких лет BIZOL значительно расширила свою международную дистрибьюторскую сеть: в 2009 году смазочные материалы BIZOL продавались в 7 странах, а в скором будущем – более чем в 100 странах. Компания BIZOL сотрудничает с эксклюзивными дистрибьюторами, предлагая им персонализированную сбытовую и маркетинговую поддержку, специализированную продукцию для конкретных рынков и реагирование на потребности заказчика посредством гибкой модели "пользовательских инноваций".</p></span></strong></span></p>";"<div class="left"><h3>Bizol Allround великолепный очищающий эффект. Формула масла для каждого.</h3> <div class="product-description"><p><strong>BIZOL</strong> является компанией по производству продукции немецкого качества в шести сегментах рынка: легковые автомобили, автобусы и грузовики, мотоциклы, моторные лодки, сельхозтехника и промышленное оборудование. На протяжении последних нескольких лет BIZOL значительно расширила свою международную дистрибьюторскую сеть: в 2009 году смазочные материалы BIZOL продавались в 7 странах, а в скором будущем – более чем в 100 странах. Компания BIZOL сотрудничает с эксклюзивными дистрибьюторами, предлагая им персонализированную сбытовую и маркетинговую поддержку, специализированную продукцию для конкретных рынков и реагирование на потребности заказчика посредством гибкой модели "пользовательских инноваций".</p><h3>Применение</h3><p style="line-height: 20.8px "><strong>BIZOL Allround 10W-40</strong>  это моторное масло на базе технологии синтеза, специально разработано для экономичного всесезонного обслуживания современных и более ранних двигателей легковых автомобилей и микроавтобусов. Идеально для использования в многоклапанных бензиновых и дизельных двигателях, в т.ч. с прямым впрыском и турбонаддувом. Предотвращает образование нагара, снижает трение в двигателе, уменьшает расход топлива.</p><h3>Преимущества</h3><ul><li>оптимальная чистота двигателя</li><li>высокая устойчивость к старению</li><li>высокая надежность смазки при высоких и низких температурах</li></ul><div class="right"><ul class="product-benefit">";83016.jpg;BIZOL;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"BIZOL ALLROUND 10W-40";;0.01;;;"1";;;"Объем 5л";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>Bizol Allround великолепный очищающий эффект. Формула масла для каждого.</h3> <div class="product-description"><p><strong>BIZOL</strong> является компанией по производству продукции немецкого качества в шести сегментах рынка: легковые автомобили, автобусы и грузовики, мотоциклы, моторные лодки, сельхозтехника и промышленное оборудование. На протяжении последних нескольких лет BIZOL значительно расширила свою международную дистрибьюторскую сеть: в 2009 году смазочные материалы BIZOL продавались в 7 странах, а в скором будущем – более чем в 100 странах. Компания BIZOL сотрудничает с эксклюзивными дистрибьюторами, предлагая им персонализированную сбытовую и маркетинговую поддержку, специализированную продукцию для конкретных рынков и реагирование на потребности заказчика посредством гибкой модели "пользовательских инноваций".</p></span></strong></span></p>";"<div class="left"><h3>Bizol Allround великолепный очищающий эффект. Формула масла для каждого.</h3> <div class="product-description"><p><strong>BIZOL</strong> является компанией по производству продукции немецкого качества в шести сегментах рынка: легковые автомобили, автобусы и грузовики, мотоциклы, моторные лодки, сельхозтехника и промышленное оборудование. На протяжении последних нескольких лет BIZOL значительно расширила свою международную дистрибьюторскую сеть: в 2009 году смазочные материалы BIZOL продавались в 7 странах, а в скором будущем – более чем в 100 странах. Компания BIZOL сотрудничает с эксклюзивными дистрибьюторами, предлагая им персонализированную сбытовую и маркетинговую поддержку, специализированную продукцию для конкретных рынков и реагирование на потребности заказчика посредством гибкой модели "пользовательских инноваций".</p><h3>Применение</h3><p style="line-height: 20.8px "><strong>BIZOL Allround 10W-40</strong>  это моторное масло на базе технологии синтеза, специально разработано для экономичного всесезонного обслуживания современных и более ранних двигателей легковых автомобилей и микроавтобусов. Идеально для использования в многоклапанных бензиновых и дизельных двигателях, в т.ч. с прямым впрыском и турбонаддувом. Предотвращает образование нагара, снижает трение в двигателе, уменьшает расход топлива.</p><h3>Преимущества</h3><ul><li>оптимальная чистота двигателя</li><li>высокая устойчивость к старению</li><li>высокая надежность смазки при высоких и низких температурах</li></ul><div class="right"><ul class="product-benefit">";83011.jpg;BIZOL;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
