Категория;Товар;Поисковые метки;Цена;Цена оптовая;Адрес;Видим;Рекомендуемый;Бренд;Вариант;Старая цена;Артикул;Склад;Заголовок страницы;Ключевые слова;Описание страницы;Аннотация;Описание;Изображения;Производитель;Емкость;Тип масла;Тип двигателя;SAE (Вязкость);Применение;ACEA;API;ILSAC;DEXTRON;JASO;ISO;CCMC;CIK-FIA;NMMA;Класс вязкости;Тип фильтра;Функция;Модель;Высота H1 (mm);Высота H2 (mm);Диаметр внешний OD1 (mm);Диаметр внешний OD2 (mm);Диаметр внутренний ID1 (mm);Диаметр внутренний ID2 (mm);Резьба (?);Нижняя резьба (?);Наруж. диаметр прокладки OD2 (mm);Внутр. диаметр прокладки ID2 (mm);Тип колодки;Передний/Задний;Тип диска;Кол-во отверстий;Диаметр (mm) ;Диаметр фаски (mm);Длина L1 (mm);Длина L2 (mm);Ширина W1 (mm);Ширина W2 (mm);Толщина (мм);Высота (mm);Тип радиатора;Модель автомобиля;Размеры радиатора (mm);Впускной диаметр (mm);Выпускной диаметр (mm);Впускной диаметр (?);Выпускной диаметр (?);Комплект (шт);Материал;Примечание
"";"CASTROL AXLE EPX 80W-90";;0.01;;;"1";;;"Объем 1л";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>Castrol Axle EPX 80W-90 трансмиссионное масло для мостов</h3> <div class="product-description"><h3>До 2011 года масло Castrol Axle EPX 80W-90 называлось Castrol EPX 80W-90</h3></span></strong></span></p>";"<div class="left"><h3>Castrol Axle EPX 80W-90 трансмиссионное масло для мостов</h3> <div class="product-description"><h3>До 2011 года масло Castrol Axle EPX 80W-90 называлось Castrol EPX 80W-90</h3><p><strong>Castrol Axle EPX 80W-90</strong> – всесезонное трансмиссионное масло для мостов, которое может использоваться в дифференциалах, главных передачах и других узлах легковых автомобилей и коммерческой техники, где требуется применение смазочных материалов спецификации API GL-5. Одобрено ZF для использования в ряде агрегатов коммерческих транспортных средств, включая мосты внедорожной и сельскохозяйственной техники.</p><h3>Преимущества</h3><ul><li>Высокая несущая способность обеспечивает защиту зубчатых передач, работающих при высоких нагрузках, от повреждения, продлевая срок службы их деталей.</li><li>Высокая прочность плёнки гарантирует надёжную защиту от износа и ударных нагрузок.</li><li>Хорошие термическая стабильность и стойкость к окислению предотвращают образование отложений и загущение масла, продлевая срок службы деталей и смазочного материала.</li></ul><h3>Общая информация о производителе</h3><p>Castrol является ведущим в мире производителем, дистрибьютором и продавцом высококачественных смазочных материалов и связанных с ними услуг для клиентов, представляющих автомобильную, промышленную, морскую, авиационную, нефтедобывающую и производственную отрасли во всем мире. Штаб-квартира компании находится в Великобритании, она представлена в более чем 40 странах, и во всем мире в Castrol работает около 7000 сотрудников. На почти 100 рынках мы представлены дистрибьюторами, которые продвигают и продают нашу продукцию на местном уровне. Сеть поставок Castrol охватывает 140 стран, 800 портов, и мы сотрудничаем с более чем 2000 дистрибьюторов и агентов. Castrol предлагает смазочные материалы практически для любого бытового, коммерческого и промышленного оборудования. Ассортимент смазочных материалов для автомобилей и мотоциклов (в том числе, для двух- и четырехтактных мотоциклетных двигателей, а также бензиновых и дизельных автомобильных двигателей) включает в себя широкий спектр жидкостей для ручных и автоматических трансмиссий, цепных смазок и восков, охлаждающих жидкостей, жидкостей для подвески, тормозных жидкостей, консистентных смазок, очистителей и продуктов для технического обслуживания. Castrol также выпускает продукты для сельскохозяйственных машин, заводов, общепромышленного оборудования и морской инженерии. Вся продукция проходит международную химическую регистрацию и соответствует требованиям законодательства во всех регионах, где она применяется.е</p><div class="right"><ul class="product-benefit">";80w90_axle.jpg;CASTROL;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"CASTROL AXLE EPX 80W-90";;0.01;;;"1";;;"Объем 208л";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>Castrol Axle EPX 80W-90 трансмиссионное масло для мостов</h3> <div class="product-description"><h3>До 2011 года масло Castrol Axle EPX 80W-90 называлось Castrol EPX 80W-90</h3></span></strong></span></p>";"<div class="left"><h3>Castrol Axle EPX 80W-90 трансмиссионное масло для мостов</h3> <div class="product-description"><h3>До 2011 года масло Castrol Axle EPX 80W-90 называлось Castrol EPX 80W-90</h3><p><strong>Castrol Axle EPX 80W-90</strong> – всесезонное трансмиссионное масло для мостов, которое может использоваться в дифференциалах, главных передачах и других узлах легковых автомобилей и коммерческой техники, где требуется применение смазочных материалов спецификации API GL-5. Одобрено ZF для использования в ряде агрегатов коммерческих транспортных средств, включая мосты внедорожной и сельскохозяйственной техники.</p><h3>Преимущества</h3><ul><li>Высокая несущая способность обеспечивает защиту зубчатых передач, работающих при высоких нагрузках, от повреждения, продлевая срок службы их деталей.</li><li>Высокая прочность плёнки гарантирует надёжную защиту от износа и ударных нагрузок.</li><li>Хорошие термическая стабильность и стойкость к окислению предотвращают образование отложений и загущение масла, продлевая срок службы деталей и смазочного материала.</li></ul><h3>Общая информация о производителе</h3><p>Castrol является ведущим в мире производителем, дистрибьютором и продавцом высококачественных смазочных материалов и связанных с ними услуг для клиентов, представляющих автомобильную, промышленную, морскую, авиационную, нефтедобывающую и производственную отрасли во всем мире. Штаб-квартира компании находится в Великобритании, она представлена в более чем 40 странах, и во всем мире в Castrol работает около 7000 сотрудников. На почти 100 рынках мы представлены дистрибьюторами, которые продвигают и продают нашу продукцию на местном уровне. Сеть поставок Castrol охватывает 140 стран, 800 портов, и мы сотрудничаем с более чем 2000 дистрибьюторов и агентов. Castrol предлагает смазочные материалы практически для любого бытового, коммерческого и промышленного оборудования. Ассортимент смазочных материалов для автомобилей и мотоциклов (в том числе, для двух- и четырехтактных мотоциклетных двигателей, а также бензиновых и дизельных автомобильных двигателей) включает в себя широкий спектр жидкостей для ручных и автоматических трансмиссий, цепных смазок и восков, охлаждающих жидкостей, жидкостей для подвески, тормозных жидкостей, консистентных смазок, очистителей и продуктов для технического обслуживания. Castrol также выпускает продукты для сельскохозяйственных машин, заводов, общепромышленного оборудования и морской инженерии. Вся продукция проходит международную химическую регистрацию и соответствует требованиям законодательства во всех регионах, где она применяется.е</p><div class="right"><ul class="product-benefit">";Castrol_208L.jpg;CASTROL;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"CASTROL AXLE EPX 80W-90";;0.01;;;"1";;;"Объем 60л";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>Castrol Axle EPX 80W-90 трансмиссионное масло для мостов</h3> <div class="product-description"><h3>До 2011 года масло Castrol Axle EPX 80W-90 называлось Castrol EPX 80W-90</h3></span></strong></span></p>";"<div class="left"><h3>Castrol Axle EPX 80W-90 трансмиссионное масло для мостов</h3> <div class="product-description"><h3>До 2011 года масло Castrol Axle EPX 80W-90 называлось Castrol EPX 80W-90</h3><p><strong>Castrol Axle EPX 80W-90</strong> – всесезонное трансмиссионное масло для мостов, которое может использоваться в дифференциалах, главных передачах и других узлах легковых автомобилей и коммерческой техники, где требуется применение смазочных материалов спецификации API GL-5. Одобрено ZF для использования в ряде агрегатов коммерческих транспортных средств, включая мосты внедорожной и сельскохозяйственной техники.</p><h3>Преимущества</h3><ul><li>Высокая несущая способность обеспечивает защиту зубчатых передач, работающих при высоких нагрузках, от повреждения, продлевая срок службы их деталей.</li><li>Высокая прочность плёнки гарантирует надёжную защиту от износа и ударных нагрузок.</li><li>Хорошие термическая стабильность и стойкость к окислению предотвращают образование отложений и загущение масла, продлевая срок службы деталей и смазочного материала.</li></ul><h3>Общая информация о производителе</h3><p>Castrol является ведущим в мире производителем, дистрибьютором и продавцом высококачественных смазочных материалов и связанных с ними услуг для клиентов, представляющих автомобильную, промышленную, морскую, авиационную, нефтедобывающую и производственную отрасли во всем мире. Штаб-квартира компании находится в Великобритании, она представлена в более чем 40 странах, и во всем мире в Castrol работает около 7000 сотрудников. На почти 100 рынках мы представлены дистрибьюторами, которые продвигают и продают нашу продукцию на местном уровне. Сеть поставок Castrol охватывает 140 стран, 800 портов, и мы сотрудничаем с более чем 2000 дистрибьюторов и агентов. Castrol предлагает смазочные материалы практически для любого бытового, коммерческого и промышленного оборудования. Ассортимент смазочных материалов для автомобилей и мотоциклов (в том числе, для двух- и четырехтактных мотоциклетных двигателей, а также бензиновых и дизельных автомобильных двигателей) включает в себя широкий спектр жидкостей для ручных и автоматических трансмиссий, цепных смазок и восков, охлаждающих жидкостей, жидкостей для подвески, тормозных жидкостей, консистентных смазок, очистителей и продуктов для технического обслуживания. Castrol также выпускает продукты для сельскохозяйственных машин, заводов, общепромышленного оборудования и морской инженерии. Вся продукция проходит международную химическую регистрацию и соответствует требованиям законодательства во всех регионах, где она применяется.е</p><div class="right"><ul class="product-benefit">";Castrol_60L.jpg;CASTROL;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"CASTROL AGRI HYDRAULIC OIL PLUS 46";;0.01;;;"1";;;"Объем 208л";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>Castrol Agri Hydraulic Oil Plus 46 - Тракторное гидравлическое масло</h3> <div class="product-description"><p style="font-size: 13px  line-height: 20.8px "><strong>Описание продукта</strong><br /></span></strong></span></p>";"<div class="left"><h3>Castrol Agri Hydraulic Oil Plus 46 - Тракторное гидравлическое масло</h3> <div class="product-description"><p style="font-size: 13px  line-height: 20.8px "><strong>Описание продукта</strong><br /><strong>Castrol Agri Hydraulic Oil Plus</strong> – минеральное масло с высоким индексом вязкости, обеспечивающее отличную работу гидравлической системы в широком диапазоне температур.</p><p style="font-size: 13px  line-height: 20.8px "><strong>Области применения  </strong><br /><strong>Agri Hydraulic Oil Plus</strong> соответствует требованиям к продуктам для гидравлических систем всех сельскохозяйственных механизмов, обеспечивая высокую степень защиты. Широкий ассортимент характеристик вязкости позволяет использовать масла этого вида там, где предписано соответствие классам вязкости ISO VG 32, 46 или 68.</p><p style="font-size: 13px  line-height: 20.8px "><strong>Характеристики и преимущества</strong></p><ul><li>Малое изменение вязкости при изменении температуры</li><li>Высокое сопротивление сдвигу, что поддерживает стабильное значение индекса вязкости в течении всего срока работы жидкости</li><li>Прекрасная защита деталей от износа</li><li>Возможность увеличения интервалов замены масла благодаря высокой термической стабильности и стойкости к окислению</li><li>Высокая устойчивость к воздействию воды, сниженное потребление масла, эффективное деэмульгирование</li></ul><p style="font-size: 13px  line-height: 20.8px "><strong>Испытания и одобрения</strong><br />ISO VG 46<br />BS 5063 Class HV<br />DIN 51524 Part 2 Class HLP</p><p style="font-size: 13px  line-height: 20.8px "><strong>Обращение и хранение</strong><br />Все упаковки должны храниться под навесом. При неизбежном хранении под открытым небом бочки следует укладывать горизонтально для предотвращения попадания дождевой воды внутрь и смывания маркировки с бочек. Продукты не должны хранится при температурах выше 60 C, подвергаться воздействию прямых солнечных лучей или замораживанию</p><div class="right"><ul class="product-benefit">";Castrol_208L.jpg;CASTROL;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"CASTROL AGRI HYDRAULIC OIL PLUS 46";;0.01;;;"1";;;"Объем 20л";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>Castrol Agri Hydraulic Oil Plus 46 - Тракторное гидравлическое масло</h3> <div class="product-description"><p style="font-size: 13px  line-height: 20.8px "><strong>Castrol Agri Hydraulic Oil Plus 46</strong><br /></span></strong></span></p>";"<div class="left"><h3>Castrol Agri Hydraulic Oil Plus 46 - Тракторное гидравлическое масло</h3> <div class="product-description"><p style="font-size: 13px  line-height: 20.8px "><strong>Castrol Agri Hydraulic Oil Plus 46</strong><br />Тракторное гидравлическое масло</p><p style="font-size: 13px  line-height: 20.8px "><strong>Описание продукта</strong><br /><strong>Castrol Agri Hydraulic Oil Plus</strong>  – минеральное масло с высоким индексом вязкости, обеспечивающее отличную работу гидравлической системы в широком диапазоне температур.</p><p style="font-size: 13px  line-height: 20.8px "><strong>Области применения  </strong><br /><strong>Agri Hydraulic Oil Plus</strong>  соответствует требованиям к продуктам для гидравлических систем всех сельскохозяйственных механизмов, обеспечивая высокую степень защиты. Широкий ассортимент характеристик вязкости позволяет использовать масла этого вида там, где предписано соответствие классам вязкости ISO VG 32, 46 или 68.</p><p style="font-size: 13px  line-height: 20.8px "><strong>Характеристики и преимущества</strong></p><ul style="font-size: 13px  line-height: 20.8px "><li>Малое изменение вязкости при изменении температуры</li><li>Высокое сопротивление сдвигу, что поддерживает стабильное значение индекса вязкости в течении всего срока работы жидкости</li><li>Прекрасная защита деталей от износа</li><li>Возможность увеличения интервалов замены масла благодаря высокой термической стабильности и стойкости к окислению</li><li>Высокая устойчивость к воздействию воды, сниженное потребление масла, эффективное деэмульгирование</li></ul><p style="font-size: 13px  line-height: 20.8px "><strong>Испытания и одобрения</strong><br />ISO VG 46<br />BS 5063 Class HV<br />DIN 51524 Part 2 Class HLP</p><p style="font-size: 13px  line-height: 20.8px "><strong>Обращение и хранение</strong><br />Все упаковки должны храниться под навесом. При неизбежном хранении под открытым небом бочки следует укладывать горизонтально для предотвращения попадания дождевой воды внутрь и смывания маркировки с бочек. Продукты не должны хранится при температурах выше 60 C, подвергаться воздействию прямых солнечных лучей или замораживанию</p><div class="right"><ul class="product-benefit">";20l.jpg;CASTROL;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"CASTROL AGRI POWER PLUS 15W-40";;0.01;;;"1";;;"Объем 208л";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>Castrol Agri MP 15W-30 универсальное масло для сельскохозяйственной техники</h3> <div class="product-description"><p><strong>Castrol Agri Power Plus 15W-40</strong>- это универсальное масло для большинства видов сельскохозяйственной техники</p></span></strong></span></p>";"<div class="left"><h3>Castrol Agri MP 15W-30 универсальное масло для сельскохозяйственной техники</h3> <div class="product-description"><p><strong>Castrol Agri Power Plus 15W-40</strong>  - это универсальное масло для большинства видов сельскохозяйственной техники</p><h3>Преимущества</h3><ul><li>Универсальное моторное масло для двигателей сельскохозяйственной, дорожной и сервисной техники.</li><li>Предотвращает износ и продлевает ресурс двигателей.</li><li>Потенциальная возможность удлинения интервала смены масла, что увеличивает время полезного использования техники.</li></ul><h3>Общая информация о производителе</h3><p>Castrol является ведущим в мире производителем, дистрибьютором и продавцом высококачественных смазочных материалов и связанных с ними услуг для клиентов, представляющих автомобильную, промышленную, морскую, авиационную, нефтедобывающую и производственную отрасли во всем мире. Штаб-квартира компании находится в Великобритании, она представлена в более чем 40 странах, и во всем мире в Castrol работает около 7000 сотрудников. На почти 100 рынках мы представлены дистрибьюторами, которые продвигают и продают нашу продукцию на местном уровне. Сеть поставок Castrol охватывает 140 стран, 800 портов, и мы сотрудничаем с более чем 2000 дистрибьюторов и агентов. Castrol предлагает смазочные материалы практически для любого бытового, коммерческого и промышленного оборудования. Ассортимент смазочных материалов для автомобилей и мотоциклов (в том числе, для двух- и четырехтактных мотоциклетных двигателей, а также бензиновых и дизельных автомобильных двигателей) включает в себя широкий спектр жидкостей для ручных и автоматических трансмиссий, цепных смазок и восков, охлаждающих жидкостей, жидкостей для подвески, тормозных жидкостей, консистентных смазок, очистителей и продуктов для технического обслуживания. Castrol также выпускает продукты для сельскохозяйственных машин, заводов, общепромышленного оборудования и морской инженерии. Вся продукция проходит международную химическую регистрацию и соответствует требованиям законодательства во всех регионах, где она применяется.</p><div class="right"><ul class="product-benefit">";Castrol_208L.jpg;CASTROL;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"CASTROL AGRI POWER PLUS 15W-40";;0.01;;;"1";;;"Объем 20л";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>Castrol Agri MP 15W-30 универсальное масло для сельскохозяйственной техники</h3> <div class="product-description"><p><strong>Castrol Agri Power Plus 15W-40</strong>- это универсальное масло для большинства видов сельскохозяйственной техники</p></span></strong></span></p>";"<div class="left"><h3>Castrol Agri MP 15W-30 универсальное масло для сельскохозяйственной техники</h3> <div class="product-description"><p><strong>Castrol Agri Power Plus 15W-40</strong>  - это универсальное масло для большинства видов сельскохозяйственной техники</p><h3>Преимущества</h3><ul><li>Универсальное моторное масло для двигателей сельскохозяйственной, дорожной и сервисной техники.</li><li>Предотвращает износ и продлевает ресурс двигателей.</li><li>Потенциальная возможность удлинения интервала смены масла, что увеличивает время полезного использования техники.</li></ul><h3>Общая информация о производителе</h3><p>Castrol является ведущим в мире производителем, дистрибьютором и продавцом высококачественных смазочных материалов и связанных с ними услуг для клиентов, представляющих автомобильную, промышленную, морскую, авиационную, нефтедобывающую и производственную отрасли во всем мире. Штаб-квартира компании находится в Великобритании, она представлена в более чем 40 странах, и во всем мире в Castrol работает около 7000 сотрудников. На почти 100 рынках мы представлены дистрибьюторами, которые продвигают и продают нашу продукцию на местном уровне. Сеть поставок Castrol охватывает 140 стран, 800 портов, и мы сотрудничаем с более чем 2000 дистрибьюторов и агентов. Castrol предлагает смазочные материалы практически для любого бытового, коммерческого и промышленного оборудования. Ассортимент смазочных материалов для автомобилей и мотоциклов (в том числе, для двух- и четырехтактных мотоциклетных двигателей, а также бензиновых и дизельных автомобильных двигателей) включает в себя широкий спектр жидкостей для ручных и автоматических трансмиссий, цепных смазок и восков, охлаждающих жидкостей, жидкостей для подвески, тормозных жидкостей, консистентных смазок, очистителей и продуктов для технического обслуживания. Castrol также выпускает продукты для сельскохозяйственных машин, заводов, общепромышленного оборудования и морской инженерии. Вся продукция проходит международную химическую регистрацию и соответствует требованиям законодательства во всех регионах, где она применяется.</p><div class="right"><ul class="product-benefit">";20l.jpg;CASTROL;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"CASTROL AQUA RACE";;0.01;;;"1";;;"Объем 1л";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>Castrol Aqua Race - для высокооборотных двухтактных спортивных двигателей водной техники.</h3> <div class="product-description"><p style="font-size: 13px  line-height: 20.8px "><strong>Castrol Aqua Race</strong><br /></span></strong></span></p>";"<div class="left"><h3>Castrol Aqua Race - для высокооборотных двухтактных спортивных двигателей водной техники.</h3> <div class="product-description"><p style="font-size: 13px  line-height: 20.8px "><strong>Castrol Aqua Race</strong><br />Моторное масло</p><p style="font-size: 13px  line-height: 20.8px "><strong>Описание продукта</strong><br /><strong>Castrol Aqua Race</strong> - полностью синтетическое моторное масло, разработанное для высокооборотных двухтактных спортивных двигателей водной техники. Композиция масла специально создана для получения максимальной эффективности работы двигателя, поддержания высочайшего уровня защиты от износа, чистоты деталей, а также снижения дымности выхлопа</p><p style="font-size: 13px  line-height: 20.8px "><strong>Области применения  </strong><br />Масло <strong>Castrol Aqua Race</strong> предназначено для всех двигателей, требующих малозольные смазочные материалы классификаций API TC или JASO FC/FD. Может применяться как в системах с непосредственным впрыском масла в цилиндр, так и с предварительным смешиванием с бензином в соотношении 50:1 (бензин : масло), в соответствии с предписанием производителя техники. Не использовать в двигателях, где предписаны беззольные масла для двухтактных двигателей водной техники классификаций NMMA TCW-II или TCW-3.</p><p style="font-size: 13px  line-height: 20.8px "><strong>Характеристики и преимущества</strong><br />Основные преимущества- обеспечивает максимальную защиту двигателя при высокоскоростных и высокотемпературных режимах работы- предотвращает образование отложений, как при высоких, так и при низких температурах- поддерживает чистоту свечей зажигания, способствуя лёгкому пуску двигателя- значительно снижает дымность выхлопа по сравнению с традиционными минеральными маслами для двухтактных двигателей.</p><p style="font-size: 13px  line-height: 20.8px "><strong>Испытания и одобрения</strong><br />API TC JASO FD</p><p style="font-size: 13px  line-height: 20.8px "><strong>Обращение и хранение</strong><br />Все упаковки должны храниться под навесом. При неизбежном хранении под открытым небом бочки следует укладывать горизонтально для предотвращения попадания дождевой воды внутрь и смывания маркировки с бочек. Продукты не должны храниться при температурах выше 60 oC, подвергаться воздействию прямых солнечных лучей или замораживанию.</p><div class="right"><ul class="product-benefit">";aqua_race.jpg;CASTROL;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"CASTROL ATF DEX II MULTIVEHICLE";;0.01;;;"1";;;"Объем 1л";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>Castrol ATF Dex II Multivehicle трансмиссионная жидкость для автоматических коробок передач</h3> <div class="product-description"><h4>До 2011 года <strong>Castrol ATF Dex IIMultivehicle</strong> назывался <u><strong>Castrol TQ-D</strong></u></h4></span></strong></span></p>";"<div class="left"><h3>Castrol ATF Dex II Multivehicle трансмиссионная жидкость для автоматических коробок передач</h3> <div class="product-description"><h4>До 2011 года <strong>Castrol ATF Dex II  Multivehicle</strong> назывался <u><strong>Castrol TQ-D</strong></u></h4><p><strong>Castrol ATF Dex II Multivehicle</strong>  – трансмиссионная жидкость на минеральной основе для автоматических коробок передач и гидроусилителей рулевого управления многих видов техники, где требуются смазочные материалы, соответствующие спецификациям Dexron IID или Mercon. Одобрена к применению во многих автоматических трансмиссиях коммерческого транспорта европейского производства и механических коробках передач производства Mercedes Benz.</p><h3>Преимущества</h3><ul><li>Широкий спектр одобрений расширяет область применения данного продукта.</li><li>Обеспечивает высокую эффективность работы усилителей рулевого управления во всем рабочем диапазоне.</li><li>Высокая термическая стабильность предотвращает образование отложений и загустевание масла, в результате продлевается срок службы как трансмиссии, так и самого масла.</li><li>Улучшенные фрикционные характеристики и повышенная защита от износа поддерживают эффективную работу агрегатов.</li><li>Полная совместимость с материалами уплотнений снижает риск утечек</li></ul><h3>Общая информация о производителе</h3><p>Castrol является ведущим в мире производителем, дистрибьютором и продавцом высококачественных смазочных материалов и связанных с ними услуг для клиентов, представляющих автомобильную, промышленную, морскую, авиационную, нефтедобывающую и производственную отрасли во всем мире. Штаб-квартира компании находится в Великобритании, она представлена в более чем 40 странах, и во всем мире в Castrol работает около 7000 сотрудников. На почти 100 рынках мы представлены дистрибьюторами, которые продвигают и продают нашу продукцию на местном уровне. Сеть поставок Castrol охватывает 140 стран, 800 портов, и мы сотрудничаем с более чем 2000 дистрибьюторов и агентов. Castrol предлагает смазочные материалы практически для любого бытового, коммерческого и промышленного оборудования. Ассортимент смазочных материалов для автомобилей и мотоциклов (в том числе, для двух- и четырехтактных мотоциклетных двигателей, а также бензиновых и дизельных автомобильных двигателей) включает в себя широкий спектр жидкостей для ручных и автоматических трансмиссий, цепных смазок и восков, охлаждающих жидкостей, жидкостей для подвески, тормозных жидкостей, консистентных смазок, очистителей и продуктов для технического обслуживания. Castrol также выпускает продукты для сельскохозяйственных машин, заводов, общепромышленного оборудования и морской инженерии. Вся продукция проходит международную химическую регистрацию и соответствует требованиям законодательства во всех регионах, где она применяется.</p><div class="right"><ul class="product-benefit">";atf_dex2.jpg;CASTROL;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"CASTROL ATF DEX II MULTIVEHICLE";;0.01;;;"1";;;"Объем 208л";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>Castrol ATF Dex II Multivehicle трансмиссионная жидкость для автоматических коробок передач</h3> <div class="product-description"><h4>До 2011 года <strong>Castrol ATF Dex IIMultivehicle</strong> назывался <u><strong>Castrol TQ-D</strong></u></h4></span></strong></span></p>";"<div class="left"><h3>Castrol ATF Dex II Multivehicle трансмиссионная жидкость для автоматических коробок передач</h3> <div class="product-description"><h4>До 2011 года <strong>Castrol ATF Dex II  Multivehicle</strong> назывался <u><strong>Castrol TQ-D</strong></u></h4><p><strong>Castrol ATF Dex II Multivehicle</strong>  – трансмиссионная жидкость на минеральной основе для автоматических коробок передач и гидроусилителей рулевого управления многих видов техники, где требуются смазочные материалы, соответствующие спецификациям Dexron IID или Mercon. Одобрена к применению во многих автоматических трансмиссиях коммерческого транспорта европейского производства и механических коробках передач производства Mercedes Benz.</p><h3>Преимущества</h3><ul><li>Широкий спектр одобрений расширяет область применения данного продукта.</li><li>Обеспечивает высокую эффективность работы усилителей рулевого управления во всем рабочем диапазоне.</li><li>Высокая термическая стабильность предотвращает образование отложений и загустевание масла, в результате продлевается срок службы как трансмиссии, так и самого масла.</li><li>Улучшенные фрикционные характеристики и повышенная защита от износа поддерживают эффективную работу агрегатов.</li><li>Полная совместимость с материалами уплотнений снижает риск утечек</li></ul><h3>Общая информация о производителе</h3><p>Castrol является ведущим в мире производителем, дистрибьютором и продавцом высококачественных смазочных материалов и связанных с ними услуг для клиентов, представляющих автомобильную, промышленную, морскую, авиационную, нефтедобывающую и производственную отрасли во всем мире. Штаб-квартира компании находится в Великобритании, она представлена в более чем 40 странах, и во всем мире в Castrol работает около 7000 сотрудников. На почти 100 рынках мы представлены дистрибьюторами, которые продвигают и продают нашу продукцию на местном уровне. Сеть поставок Castrol охватывает 140 стран, 800 портов, и мы сотрудничаем с более чем 2000 дистрибьюторов и агентов. Castrol предлагает смазочные материалы практически для любого бытового, коммерческого и промышленного оборудования. Ассортимент смазочных материалов для автомобилей и мотоциклов (в том числе, для двух- и четырехтактных мотоциклетных двигателей, а также бензиновых и дизельных автомобильных двигателей) включает в себя широкий спектр жидкостей для ручных и автоматических трансмиссий, цепных смазок и восков, охлаждающих жидкостей, жидкостей для подвески, тормозных жидкостей, консистентных смазок, очистителей и продуктов для технического обслуживания. Castrol также выпускает продукты для сельскохозяйственных машин, заводов, общепромышленного оборудования и морской инженерии. Вся продукция проходит международную химическую регистрацию и соответствует требованиям законодательства во всех регионах, где она применяется.</p><div class="right"><ul class="product-benefit">";Castrol_208L.jpg;CASTROL;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
