Категория;Товар;Поисковые метки;Цена;Цена оптовая;Адрес;Видим;Рекомендуемый;Бренд;Вариант;Старая цена;Артикул;Склад;Заголовок страницы;Ключевые слова;Описание страницы;Аннотация;Описание;Изображения;Производитель;Емкость;Тип масла;Тип двигателя;SAE (Вязкость);Применение;ACEA;API;ILSAC;DEXTRON;JASO;ISO;CCMC;CIK-FIA;NMMA;Класс вязкости;Тип фильтра;Функция;Модель;Высота H1 (mm);Высота H2 (mm);Диаметр внешний OD1 (mm);Диаметр внешний OD2 (mm);Диаметр внутренний ID1 (mm);Диаметр внутренний ID2 (mm);Резьба (?);Нижняя резьба (?);Наруж. диаметр прокладки OD2 (mm);Внутр. диаметр прокладки ID2 (mm);Тип колодки;Передний/Задний;Тип диска;Кол-во отверстий;Диаметр (mm) ;Диаметр фаски (mm);Длина L1 (mm);Длина L2 (mm);Ширина W1 (mm);Ширина W2 (mm);Толщина (мм);Высота (mm);Тип радиатора;Модель автомобиля;Размеры радиатора (mm);Впускной диаметр (mm);Выпускной диаметр (mm);Впускной диаметр (?);Выпускной диаметр (?);Комплект (шт);Материал;Примечание
"";"ELF EVOLUTION 700 STI 10W-40 1л.";;0.01;;;"1";;;"";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>ELF EVOLUTION 700 STI 10W-40 - высокоэффективный смазочный материал, произведенный с использованием полусинтетической технологии ELF</h3> <div class="product-fake"><a href="fake_oil/elf_fake">Как отличить подделку?<span>Статья - здесь!</span></a></div> <div class="product-description"><h4>Высококачественное полусинтетическое моторное масло нового поколения. Разработано специально для бензиновых и дизельных двигателей легковых автомобилей и оптимизировано для соответствия требованиям новой технологии прямого впрыска.</h4></span></strong></span></p>";"<div class="left"><h3>Применение</h3><p style="line-height: 20.7999992370605px "><strong>Масло ELF Evolution 700 ST 10W-40</strong>  -   рекомендуется для всех бензиновых и дизельных двигателей в автомобилях, микроавтобусах и легких автофургонах. Разработано также для соответствия требованиям к новейшим дизельным двигателям, включая новые конструкции с системой прямого впрыска топлива, как с общей топливной рампой (Common Rail) , так и без нее. Полностью адаптировано для всех типов эксплуатации (езда по городу или шоссе, продолжительные автомобильные поездки).</p><h3>Преимущества</h3><p>Полусинтетическая технология масла  <strong>ELF Evolution 700 ST 10W-40</strong> гарантирует сохранение свойств масла в течение всего срока службы, что отвечает требованиям автопроизводителей относительно увеличенных интервалов замены.</p><p>Превосходная моющая способность <strong style="font-size: 13px  line-height: 20.7999992370605px ">ELF Evolution 700</strong>, позволяющая не загрязняться узлам двигателя в процессе эксплуатации, сохраняя оптимальные характеристики двигателя. Соответствует специфическим требованиям двигателей с прямым впрыском. Прямой впрыск не только повышает крутящий момент и мощность двигателя на низких оборотах, уменьшает расход топлива, но также и увеличивает рабочую температуру. Следовательно, является важным применение смазочного материала, способного защитить двигатель при высокой температуре.</p><p>Превосходные вязкостно-температурные характеристики масла демонстрируют превосходные защитные свойства при высоких температурах и обеспечивают быстрое смазывание узлов двигателя при холодном пуске. Такая оптимальная защита двигателя при любой температуре продлевает его срок службы.</p><div class="right"><ul class="product-benefit">";elf_evolution_700STi_10w40_1L.jpg;ELF;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"ELF EVOLUTION 700 STI 10W-40 1л.";;0.01;;;"1";;;"";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>ELF EVOLUTION 700 STI 10W-40 - высокоэффективный смазочный материал, произведенный с использованием полусинтетической технологии ELF</h3> <div class="product-fake"><a href="../fake_oil/elf_fake.html">Как отличить подделку?<span>Статья - здесь!</span></a></div> <div class="product-description"><h4>Высококачественное полусинтетическое моторное масло нового поколения. Разработано специально для бензиновых и дизельных двигателей легковых автомобилей и оптимизировано для соответствия требованиям новой технологии прямого впрыска.</h4></span></strong></span></p>";"<div class="left"><h3>Применение</h3><p style="line-height: 20.7999992370605px "><strong>Масло ELF Evolution 700 ST 10W-40</strong>  -   рекомендуется для всех бензиновых и дизельных двигателей в автомобилях, микроавтобусах и легких автофургонах. Разработано также для соответствия требованиям к новейшим дизельным двигателям, включая новые конструкции с системой прямого впрыска топлива, как с общей топливной рампой (Common Rail) , так и без нее. Полностью адаптировано для всех типов эксплуатации (езда по городу или шоссе, продолжительные автомобильные поездки).</p><h3>Преимущества</h3><p>Полусинтетическая технология масла  <strong>ELF Evolution 700 ST 10W-40</strong> гарантирует сохранение свойств масла в течение всего срока службы, что отвечает требованиям автопроизводителей относительно увеличенных интервалов замены.</p><p>Превосходная моющая способность <strong style="font-size: 13px  line-height: 20.7999992370605px ">ELF Evolution 700</strong>, позволяющая не загрязняться узлам двигателя в процессе эксплуатации, сохраняя оптимальные характеристики двигателя. Соответствует специфическим требованиям двигателей с прямым впрыском. Прямой впрыск не только повышает крутящий момент и мощность двигателя на низких оборотах, уменьшает расход топлива, но также и увеличивает рабочую температуру. Следовательно, является важным применение смазочного материала, способного защитить двигатель при высокой температуре.</p><p>Превосходные вязкостно-температурные характеристики масла демонстрируют превосходные защитные свойства при высоких температурах и обеспечивают быстрое смазывание узлов двигателя при холодном пуске. Такая оптимальная защита двигателя при любой температуре продлевает его срок службы.</p><div class="right"><ul class="product-benefit">";elf_evolution_700STi_10w40_1L.jpg;ELF;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"ELF EVOLUTION 700 STI 10W-40 208л.";;0.01;;;"1";;;"";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>ELF EVOLUTION 700 STI 10W-40 - высокоэффективный смазочный материал, произведенный с использованием полусинтетической технологии ELF</h3> <div class="product-fake"><a href="fake_oil/elf_fake">Как отличить подделку?<span>Статья - здесь!</span></a></div> <div class="product-description"><h3>Высококачественное полусинтетическое моторное масло нового поколения. Разработано специально для бензиновых и дизельных двигателей легковых автомобилей и оптимизировано для соответствия требованиям новой технологии прямого впрыска.</h3></span></strong></span></p>";"<div class="left"><h3>Применение</h3><p style="line-height: 20.7999992370605px "><strong>Масло ELF Evolution 700 STI 10W-40</strong>  -   рекомендуется для всех бензиновых и дизельных двигателей в автомобилях, микроавтобусах и легких автофургонах. Разработано также для соответствия требованиям к новейшим дизельным двигателям, включая новые конструкции с системой прямого впрыска топлива, как с общей топливной рампой (Common Rail) , так и без нее. Полностью адаптировано для всех типов эксплуатации (езда по городу или шоссе, продолжительные автомобильные поездки).</p><h3>Преимущества</h3><p>Полусинтетическая технология масла  <strong>ELF Evolution 700 STI 10W-40</strong>  гарантирует сохранение свойств масла в течение всего срока службы, что отвечает требованиям автопроизводителей относительно увеличенных интервалов замены.</p><p>Превосходная моющая способность  <strong style="line-height: 20.7999992370605px ">ELF Evolution 700</strong>, позволяющая не загрязняться узлам двигателя в процессе эксплуатации, сохраняя оптимальные характеристики двигателя. Соответствует специфическим требованиям двигателей с прямым впрыском. Прямой впрыск не только повышает крутящий момент и мощность двигателя на низких оборотах, уменьшает расход топлива, но также и увеличивает рабочую температуру. Следовательно, является важным применение смазочного материала, способного защитить двигатель при высокой температуре.</p><p>Превосходные вязкостно-температурные характеристики масла демонстрируют превосходные защитные свойства при высоких температурах и обеспечивают быстрое смазывание узлов двигателя при холодном пуске. Такая оптимальная защита двигателя при любой температуре продлевает его срок службы.</p><div class="right"><ul class="product-benefit">";ELF_208L.jpg;ELF;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"ELF EVOLUTION 700 STI 10W-40 20л.";;0.01;;;"1";;;"";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>ELF EVOLUTION 700 STI 10W-40 - высокоэффективный смазочный материал, произведенный с использованием полусинтетической технологии ELF</h3> <div class="product-fake"><a href="fake_oil/elf_fake">Как отличить подделку?<span>Статья - здесь!</span></a></div> <div class="product-description"><h3>Высококачественное полусинтетическое моторное масло нового поколения. Разработано специально для бензиновых и дизельных двигателей легковых автомобилей и оптимизировано для соответствия требованиям новой технологии прямого впрыска.</h3></span></strong></span></p>";"<div class="left"><h3>Применение</h3><p style="line-height: 20.7999992370605px "><strong>Масло ELF Evolution 700 STI 10W-40</strong>  -   рекомендуется для всех бензиновых и дизельных двигателей в автомобилях, микроавтобусах и легких автофургонах. Разработано также для соответствия требованиям к новейшим дизельным двигателям, включая новые конструкции с системой прямого впрыска топлива, как с общей топливной рампой (Common Rail) , так и без нее. Полностью адаптировано для всех типов эксплуатации (езда по городу или шоссе, продолжительные автомобильные поездки).</p><h3>Преимущества</h3><p>Полусинтетическая технология масла  <strong>ELF Evolution 700 STI 10W-40</strong>  гарантирует сохранение свойств масла в течение всего срока службы, что отвечает требованиям автопроизводителей относительно увеличенных интервалов замены.</p><p>Превосходная моющая способность  <strong style="line-height: 20.7999992370605px ">ELF Evolution 700</strong>, позволяющая не загрязняться узлам двигателя в процессе эксплуатации, сохраняя оптимальные характеристики двигателя. Соответствует специфическим требованиям двигателей с прямым впрыском. Прямой впрыск не только повышает крутящий момент и мощность двигателя на низких оборотах, уменьшает расход топлива, но также и увеличивает рабочую температуру. Следовательно, является важным применение смазочного материала, способного защитить двигатель при высокой температуре.</p><p>Превосходные вязкостно-температурные характеристики масла демонстрируют превосходные защитные свойства при высоких температурах и обеспечивают быстрое смазывание узлов двигателя при холодном пуске. Такая оптимальная защита двигателя при любой температуре продлевает его срок службы.</p><div class="right"><ul class="product-benefit">";ELF_20L.jpg;ELF;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"ELF EVOLUTION 700 STI 10W-40 20л.";;0.01;;;"1";;;"";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>ELF EVOLUTION 700 STI 10W-40 - высокоэффективный смазочный материал, произведенный с использованием полусинтетической технологии ELF</h3> <div class="product-fake"><a href="../fake_oil/elf_fake.html">Как отличить подделку?<span>Статья - здесь!</span></a></div> <div class="product-description"><h3>Высококачественное полусинтетическое моторное масло нового поколения. Разработано специально для бензиновых и дизельных двигателей легковых автомобилей и оптимизировано для соответствия требованиям новой технологии прямого впрыска.</h3></span></strong></span></p>";"<div class="left"><h3>Применение</h3><p style="line-height: 20.7999992370605px "><strong>Масло ELF Evolution 700 STI 10W-40</strong>  -   рекомендуется для всех бензиновых и дизельных двигателей в автомобилях, микроавтобусах и легких автофургонах. Разработано также для соответствия требованиям к новейшим дизельным двигателям, включая новые конструкции с системой прямого впрыска топлива, как с общей топливной рампой (Common Rail) , так и без нее. Полностью адаптировано для всех типов эксплуатации (езда по городу или шоссе, продолжительные автомобильные поездки).</p><h3>Преимущества</h3><p>Полусинтетическая технология масла  <strong>ELF Evolution 700 STI 10W-40</strong>  гарантирует сохранение свойств масла в течение всего срока службы, что отвечает требованиям автопроизводителей относительно увеличенных интервалов замены.</p><p>Превосходная моющая способность  <strong style="line-height: 20.7999992370605px ">ELF Evolution 700</strong>, позволяющая не загрязняться узлам двигателя в процессе эксплуатации, сохраняя оптимальные характеристики двигателя. Соответствует специфическим требованиям двигателей с прямым впрыском. Прямой впрыск не только повышает крутящий момент и мощность двигателя на низких оборотах, уменьшает расход топлива, но также и увеличивает рабочую температуру. Следовательно, является важным применение смазочного материала, способного защитить двигатель при высокой температуре.</p><p>Превосходные вязкостно-температурные характеристики масла демонстрируют превосходные защитные свойства при высоких температурах и обеспечивают быстрое смазывание узлов двигателя при холодном пуске. Такая оптимальная защита двигателя при любой температуре продлевает его срок службы.</p><div class="right"><ul class="product-benefit">";ELF_20L.jpg;ELF;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"ELF EVOLUTION 700 STI 10W-40 4л.";;0.01;;;"1";;;"";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>ELF EVOLUTION 700 STI 10W-40 - высокоэффективный смазочный материал, произведенный с использованием полусинтетической технологии ELF</h3> <div class="product-fake"><a href="fake_oil/elf_fake">Как отличить подделку?<span>Статья - здесь!</span></a></div> <div class="product-description"><h3>Высококачественное полусинтетическое моторное масло нового поколения. Разработано специально для бензиновых и дизельных двигателей легковых автомобилей и оптимизировано для соответствия требованиям новой технологии прямого впрыска.</h3></span></strong></span></p>";"<div class="left"><h3>Применение</h3><p style="line-height: 20.7999992370605px "><strong>Масло ELF Evolution 700 STI 10W-40</strong>  -   рекомендуется для всех бензиновых и дизельных двигателей в автомобилях, микроавтобусах и легких автофургонах. Разработано также для соответствия требованиям к новейшим дизельным двигателям, включая новые конструкции с системой прямого впрыска топлива, как с общей топливной рампой (Common Rail) , так и без нее. Полностью адаптировано для всех типов эксплуатации (езда по городу или шоссе, продолжительные автомобильные поездки).</p><h3>Преимущества</h3><p>Полусинтетическая технология масла  <strong>ELF Evolution 700 STI 10W-40</strong>  гарантирует сохранение свойств масла в течение всего срока службы, что отвечает требованиям автопроизводителей относительно увеличенных интервалов замены.</p><p>Превосходная моющая способность  <strong style="line-height: 20.7999992370605px ">ELF Evolution 700</strong>, позволяющая не загрязняться узлам двигателя в процессе эксплуатации, сохраняя оптимальные характеристики двигателя. Соответствует специфическим требованиям двигателей с прямым впрыском. Прямой впрыск не только повышает крутящий момент и мощность двигателя на низких оборотах, уменьшает расход топлива, но также и увеличивает рабочую температуру. Следовательно, является важным применение смазочного материала, способного защитить двигатель при высокой температуре.</p><p>Превосходные вязкостно-температурные характеристики масла демонстрируют превосходные защитные свойства при высоких температурах и обеспечивают быстрое смазывание узлов двигателя при холодном пуске. Такая оптимальная защита двигателя при любой температуре продлевает его срок службы.</p><div class="right"><ul class="product-benefit">";elf_evolution_700STi_10w40_4L.jpg;ELF;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"ELF EVOLUTION 700 STI 10W-40 4л.";;0.01;;;"1";;;"";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>ELF EVOLUTION 700 STI 10W-40 - высокоэффективный смазочный материал, произведенный с использованием полусинтетической технологии ELF</h3> <div class="product-fake"><a href="../fake_oil/elf_fake.html">Как отличить подделку?<span>Статья - здесь!</span></a></div> <div class="product-description"><h3>Высококачественное полусинтетическое моторное масло нового поколения. Разработано специально для бензиновых и дизельных двигателей легковых автомобилей и оптимизировано для соответствия требованиям новой технологии прямого впрыска.</h3></span></strong></span></p>";"<div class="left"><h3>Применение</h3><p style="line-height: 20.7999992370605px "><strong>Масло ELF Evolution 700 STI 10W-40</strong>  -   рекомендуется для всех бензиновых и дизельных двигателей в автомобилях, микроавтобусах и легких автофургонах. Разработано также для соответствия требованиям к новейшим дизельным двигателям, включая новые конструкции с системой прямого впрыска топлива, как с общей топливной рампой (Common Rail) , так и без нее. Полностью адаптировано для всех типов эксплуатации (езда по городу или шоссе, продолжительные автомобильные поездки).</p><h3>Преимущества</h3><p>Полусинтетическая технология масла  <strong>ELF Evolution 700 STI 10W-40</strong>  гарантирует сохранение свойств масла в течение всего срока службы, что отвечает требованиям автопроизводителей относительно увеличенных интервалов замены.</p><p>Превосходная моющая способность  <strong style="line-height: 20.7999992370605px ">ELF Evolution 700</strong>, позволяющая не загрязняться узлам двигателя в процессе эксплуатации, сохраняя оптимальные характеристики двигателя. Соответствует специфическим требованиям двигателей с прямым впрыском. Прямой впрыск не только повышает крутящий момент и мощность двигателя на низких оборотах, уменьшает расход топлива, но также и увеличивает рабочую температуру. Следовательно, является важным применение смазочного материала, способного защитить двигатель при высокой температуре.</p><p>Превосходные вязкостно-температурные характеристики масла демонстрируют превосходные защитные свойства при высоких температурах и обеспечивают быстрое смазывание узлов двигателя при холодном пуске. Такая оптимальная защита двигателя при любой температуре продлевает его срок службы.</p><div class="right"><ul class="product-benefit">";elf_evolution_700STi_10w40_4L.jpg;ELF;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"ELF EVOLUTION 700 STI 10W-40 5л.";;0.01;;;"1";;;"";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>ELF EVOLUTION 700 STI 10W-40 - высокоэффективный смазочный материал, произведенный с использованием полусинтетической технологии ELF</h3> <div class="product-fake"><a href="fake_oil/elf_fake">Как отличить подделку?<span>Статья - здесь!</span></a></div> <div class="product-description"><h3>Высококачественное полусинтетическое моторное масло нового поколения. Разработано специально для бензиновых и дизельных двигателей легковых автомобилей и оптимизировано для соответствия требованиям новой технологии прямого впрыска.</h3></span></strong></span></p>";"<div class="left"><h3>Применение</h3><p style="line-height: 20.7999992370605px "><strong>Масло ELF Evolution 700 STI 10W-40</strong>  -   рекомендуется для всех бензиновых и дизельных двигателей в автомобилях, микроавтобусах и легких автофургонах. Разработано также для соответствия требованиям к новейшим дизельным двигателям, включая новые конструкции с системой прямого впрыска топлива, как с общей топливной рампой (Common Rail) , так и без нее. Полностью адаптировано для всех типов эксплуатации (езда по городу или шоссе, продолжительные автомобильные поездки).</p><h3>Преимущества</h3><p>Полусинтетическая технология масла  <strong>ELF Evolution 700 STI 10W-40</strong>  гарантирует сохранение свойств масла в течение всего срока службы, что отвечает требованиям автопроизводителей относительно увеличенных интервалов замены.</p><p>Превосходная моющая способность  <strong style="line-height: 20.7999992370605px ">ELF Evolution 700</strong>, позволяющая не загрязняться узлам двигателя в процессе эксплуатации, сохраняя оптимальные характеристики двигателя. Соответствует специфическим требованиям двигателей с прямым впрыском. Прямой впрыск не только повышает крутящий момент и мощность двигателя на низких оборотах, уменьшает расход топлива, но также и увеличивает рабочую температуру. Следовательно, является важным применение смазочного материала, способного защитить двигатель при высокой температуре.</p><p>Превосходные вязкостно-температурные характеристики масла демонстрируют превосходные защитные свойства при высоких температурах и обеспечивают быстрое смазывание узлов двигателя при холодном пуске. Такая оптимальная защита двигателя при любой температуре продлевает его срок службы.</p><div class="right"><ul class="product-benefit">";elf_evolution_700STi_10w40_5L.jpg;ELF;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"ELF EVOLUTION 700 STI 10W-40 5л.";;0.01;;;"1";;;"";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>ELF EVOLUTION 700 STI 10W-40 - высокоэффективный смазочный материал, произведенный с использованием полусинтетической технологии ELF</h3> <div class="product-fake"><a href="../fake_oil/elf_fake.html">Как отличить подделку?<span>Статья - здесь!</span></a></div> <div class="product-description"><h3>Высококачественное полусинтетическое моторное масло нового поколения. Разработано специально для бензиновых и дизельных двигателей легковых автомобилей и оптимизировано для соответствия требованиям новой технологии прямого впрыска.</h3></span></strong></span></p>";"<div class="left"><h3>Применение</h3><p style="line-height: 20.7999992370605px "><strong>Масло ELF Evolution 700 STI 10W-40</strong>  -   рекомендуется для всех бензиновых и дизельных двигателей в автомобилях, микроавтобусах и легких автофургонах. Разработано также для соответствия требованиям к новейшим дизельным двигателям, включая новые конструкции с системой прямого впрыска топлива, как с общей топливной рампой (Common Rail) , так и без нее. Полностью адаптировано для всех типов эксплуатации (езда по городу или шоссе, продолжительные автомобильные поездки).</p><h3>Преимущества</h3><p>Полусинтетическая технология масла  <strong>ELF Evolution 700 STI 10W-40</strong>  гарантирует сохранение свойств масла в течение всего срока службы, что отвечает требованиям автопроизводителей относительно увеличенных интервалов замены.</p><p>Превосходная моющая способность  <strong style="line-height: 20.7999992370605px ">ELF Evolution 700</strong>, позволяющая не загрязняться узлам двигателя в процессе эксплуатации, сохраняя оптимальные характеристики двигателя. Соответствует специфическим требованиям двигателей с прямым впрыском. Прямой впрыск не только повышает крутящий момент и мощность двигателя на низких оборотах, уменьшает расход топлива, но также и увеличивает рабочую температуру. Следовательно, является важным применение смазочного материала, способного защитить двигатель при высокой температуре.</p><p>Превосходные вязкостно-температурные характеристики масла демонстрируют превосходные защитные свойства при высоких температурах и обеспечивают быстрое смазывание узлов двигателя при холодном пуске. Такая оптимальная защита двигателя при любой температуре продлевает его срок службы.</p><div class="right"><ul class="product-benefit">";elf_evolution_700STi_10w40_5L.jpg;ELF;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"ELF EVOLUTION 700 STI 10W-40 60л.";;0.01;;;"1";;;"";;;;;;;"<p><img src=/files/uploads/oil-cange.jpg width="179" height="130"/><img src=/files/uploads/104967w640_h640.jpg width="293" height="130" /></p><p><span style="font-family: arial, helvetica, sans-serif "><strong><span style="font-size: small "><div class="left"><h3>ELF EVOLUTION 700 STI 10W-40 - высокоэффективный смазочный материал, произведенный с использованием полусинтетической технологии ELF</h3> <div class="product-fake"><a href="fake_oil/elf_fake">Как отличить подделку?<span>Статья - здесь!</span></a></div> <div class="product-description"><h3>Высококачественное полусинтетическое моторное масло нового поколения. Разработано специально для бензиновых и дизельных двигателей легковых автомобилей и оптимизировано для соответствия требованиям новой технологии прямого впрыска.</h3></span></strong></span></p>";"<div class="left"><h3>Применение</h3><p style="line-height: 20.7999992370605px "><strong>Масло ELF Evolution 700 STI 10W-40</strong>  -   рекомендуется для всех бензиновых и дизельных двигателей в автомобилях, микроавтобусах и легких автофургонах. Разработано также для соответствия требованиям к новейшим дизельным двигателям, включая новые конструкции с системой прямого впрыска топлива, как с общей топливной рампой (Common Rail) , так и без нее. Полностью адаптировано для всех типов эксплуатации (езда по городу или шоссе, продолжительные автомобильные поездки).</p><h3>Преимущества</h3><p>Полусинтетическая технология масла  <strong>ELF Evolution 700 STI 10W-40</strong>  гарантирует сохранение свойств масла в течение всего срока службы, что отвечает требованиям автопроизводителей относительно увеличенных интервалов замены.</p><p>Превосходная моющая способность  <strong style="line-height: 20.7999992370605px ">ELF Evolution 700</strong>, позволяющая не загрязняться узлам двигателя в процессе эксплуатации, сохраняя оптимальные характеристики двигателя. Соответствует специфическим требованиям двигателей с прямым впрыском. Прямой впрыск не только повышает крутящий момент и мощность двигателя на низких оборотах, уменьшает расход топлива, но также и увеличивает рабочую температуру. Следовательно, является важным применение смазочного материала, способного защитить двигатель при высокой температуре.</p><p>Превосходные вязкостно-температурные характеристики масла демонстрируют превосходные защитные свойства при высоких температурах и обеспечивают быстрое смазывание узлов двигателя при холодном пуске. Такая оптимальная защита двигателя при любой температуре продлевает его срок службы.</p><div class="right"><ul class="product-benefit">";ELF_60L.jpg;ELF;;"";;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
